date,value,name
2023-10-12,7.57,30YearFixedRateMortgageAverage
2023-10-05,7.49,30YearFixedRateMortgageAverage
2023-09-28,7.31,30YearFixedRateMortgageAverage
2023-09-21,7.19,30YearFixedRateMortgageAverage
2023-09-14,7.18,30YearFixedRateMortgageAverage
2023-09-07,7.12,30YearFixedRateMortgageAverage
2023-08-31,7.18,30YearFixedRateMortgageAverage
2023-08-24,7.23,30YearFixedRateMortgageAverage
2023-08-17,7.09,30YearFixedRateMortgageAverage
2023-08-10,6.96,30YearFixedRateMortgageAverage
2023-08-03,6.9,30YearFixedRateMortgageAverage
2023-07-27,6.81,30YearFixedRateMortgageAverage
2023-07-20,6.78,30YearFixedRateMortgageAverage
2023-07-13,6.96,30YearFixedRateMortgageAverage
2023-07-06,6.81,30YearFixedRateMortgageAverage
2023-06-29,6.71,30YearFixedRateMortgageAverage
2023-06-22,6.67,30YearFixedRateMortgageAverage
2023-06-15,6.69,30YearFixedRateMortgageAverage
2023-06-08,6.71,30YearFixedRateMortgageAverage
2023-06-01,6.79,30YearFixedRateMortgageAverage
2023-05-25,6.57,30YearFixedRateMortgageAverage
2023-05-18,6.39,30YearFixedRateMortgageAverage
2023-05-11,6.35,30YearFixedRateMortgageAverage
2023-05-04,6.39,30YearFixedRateMortgageAverage
2023-04-27,6.43,30YearFixedRateMortgageAverage
2023-04-20,6.39,30YearFixedRateMortgageAverage
2023-04-13,6.27,30YearFixedRateMortgageAverage
2023-04-06,6.28,30YearFixedRateMortgageAverage
2023-03-30,6.32,30YearFixedRateMortgageAverage
2023-03-23,6.42,30YearFixedRateMortgageAverage
2023-03-16,6.6,30YearFixedRateMortgageAverage
2023-03-09,6.73,30YearFixedRateMortgageAverage
2023-03-02,6.65,30YearFixedRateMortgageAverage
2023-02-23,6.5,30YearFixedRateMortgageAverage
2023-02-16,6.32,30YearFixedRateMortgageAverage
2023-02-09,6.12,30YearFixedRateMortgageAverage
2023-02-02,6.09,30YearFixedRateMortgageAverage
2023-01-26,6.13,30YearFixedRateMortgageAverage
2023-01-19,6.15,30YearFixedRateMortgageAverage
2023-01-12,6.33,30YearFixedRateMortgageAverage
2023-01-05,6.48,30YearFixedRateMortgageAverage
2022-12-29,6.42,30YearFixedRateMortgageAverage
2022-12-22,6.27,30YearFixedRateMortgageAverage
2022-12-15,6.31,30YearFixedRateMortgageAverage
2022-12-08,6.33,30YearFixedRateMortgageAverage
2022-12-01,6.49,30YearFixedRateMortgageAverage
2022-11-23,6.58,30YearFixedRateMortgageAverage
2022-11-17,6.61,30YearFixedRateMortgageAverage
2022-11-10,7.08,30YearFixedRateMortgageAverage
2022-11-03,6.95,30YearFixedRateMortgageAverage
2022-10-27,7.08,30YearFixedRateMortgageAverage
2022-10-20,6.94,30YearFixedRateMortgageAverage
2022-10-13,6.92,30YearFixedRateMortgageAverage
2022-10-06,6.66,30YearFixedRateMortgageAverage
2022-09-29,6.7,30YearFixedRateMortgageAverage
2022-09-22,6.29,30YearFixedRateMortgageAverage
2022-09-15,6.02,30YearFixedRateMortgageAverage
2022-09-08,5.89,30YearFixedRateMortgageAverage
2022-09-01,5.66,30YearFixedRateMortgageAverage
2022-08-25,5.55,30YearFixedRateMortgageAverage
2022-08-18,5.13,30YearFixedRateMortgageAverage
2022-08-11,5.22,30YearFixedRateMortgageAverage
2022-08-04,4.99,30YearFixedRateMortgageAverage
2022-07-28,5.3,30YearFixedRateMortgageAverage
