date,value,name
2023-09-01,5.49,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-08-01,5.44,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-07-01,5.35,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-06-01,5.22,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-05-01,5.15,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-04-01,5.03,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-03-01,4.91,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-02-01,4.74,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2023-01-01,4.61,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-12-01,4.51,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-11-01,4.46,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-10-01,3.85,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-09-01,3.21,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-08-01,2.76,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-07-01,2.5,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-06-01,1.87,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-05-01,1.33,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-04-01,0.91,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-03-01,0.73,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-02-01,0.38,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2022-01-01,0.22,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-12-01,0.17,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-11-01,0.14,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-10-01,0.11,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-09-01,0.1,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-08-01,0.1,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-07-01,0.1,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-06-01,0.09,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-05-01,0.1,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-04-01,0.11,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-03-01,0.1,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-02-01,0.11,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2021-01-01,0.14,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-12-01,0.17,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-11-01,0.16,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-10-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-09-01,0.13,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-08-01,0.15,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-07-01,0.18,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-06-01,0.2,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-05-01,0.17,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-03-01,1.35,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-02-01,1.59,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2020-01-01,1.65,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-12-01,1.76,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-11-01,1.77,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-10-01,1.88,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-09-01,2.03,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-08-01,2.06,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-07-01,2.22,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-06-01,2.3,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-05-01,2.44,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-04-01,2.47,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-03-01,2.48,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-02-01,2.49,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2019-01-01,2.59,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-12-01,2.69,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-11-01,2.56,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-10-01,2.37,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-09-01,2.24,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-08-01,2.19,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-07-01,2.17,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-06-01,2.19,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-05-01,2.16,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-04-01,2.2,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-03-01,2.08,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-02-01,1.78,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2018-01-01,1.63,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-12-01,1.54,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-11-01,1.32,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-10-01,1.26,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-09-01,1.25,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-08-01,1.25,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-07-01,1.22,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-06-01,1.16,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-05-01,1.05,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-04-01,1.03,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-03-01,0.98,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-02-01,0.87,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2017-01-01,0.9,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-12-01,0.87,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-11-01,0.71,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-10-01,0.72,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-09-01,0.75,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-08-01,0.73,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-07-01,0.62,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-06-01,0.55,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-05-01,0.57,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-04-01,0.55,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-03-01,0.55,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-02-01,0.54,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2016-01-01,0.57,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-12-01,0.54,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-11-01,0.3,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-10-01,0.25,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-09-01,0.27,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-08-01,0.26,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-07-01,0.19,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-06-01,0.18,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-05-01,0.15,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-04-01,0.13,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-03-01,0.14,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-02-01,0.15,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2015-01-01,0.16,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-12-01,0.15,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-11-01,0.13,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-10-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-09-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-08-01,0.13,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-07-01,0.13,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-06-01,0.11,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-05-01,0.11,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-04-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-03-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-02-01,0.13,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2014-01-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-12-01,0.14,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-11-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-10-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-09-01,0.11,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-08-01,0.12,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-07-01,0.14,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-06-01,0.19,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-05-01,0.2,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-04-01,0.2,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-03-01,0.21,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-02-01,0.22,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2013-01-01,0.23,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-12-01,0.24,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-11-01,0.23,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-10-01,0.23,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-09-01,0.24,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-08-01,0.26,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-07-01,0.3,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-06-01,0.32,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-05-01,0.29,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
2012-04-01,0.29,3MonthOr90DayRatesAndYieldsCertificatesOfDeposit
