date,value,name
2023-09-01,307.481,CPI
2023-08-01,306.269,CPI
2023-07-01,304.348,CPI
2023-06-01,303.841,CPI
2023-05-01,303.294,CPI
2023-04-01,302.918,CPI
2023-03-01,301.808,CPI
2023-02-01,301.648,CPI
2023-01-01,300.536,CPI
2022-12-01,298.99,CPI
2022-11-01,298.598,CPI
2022-10-01,297.987,CPI
2022-09-01,296.539,CPI
2022-08-01,295.32,CPI
2022-07-01,294.628,CPI
2022-06-01,294.728,CPI
2022-05-01,291.268,CPI
2022-04-01,288.611,CPI
2022-03-01,287.472,CPI
2022-02-01,284.61,CPI
2022-01-01,282.599,CPI
2021-12-01,280.887,CPI
2021-11-01,278.711,CPI
2021-10-01,276.522,CPI
2021-09-01,274.028,CPI
2021-08-01,272.87,CPI
2021-07-01,271.764,CPI
2021-06-01,270.559,CPI
2021-05-01,268.444,CPI
2021-04-01,266.67,CPI
2021-03-01,264.914,CPI
2021-02-01,263.638,CPI
2021-01-01,262.65,CPI
2020-12-01,262.035,CPI
2020-11-01,260.813,CPI
2020-10-01,260.286,CPI
2020-09-01,260.029,CPI
2020-08-01,259.411,CPI
2020-07-01,258.278,CPI
2020-06-01,256.986,CPI
2020-05-01,255.868,CPI
2020-04-01,256.092,CPI
2020-03-01,258.124,CPI
2020-02-01,259.248,CPI
2020-01-01,259.037,CPI
2019-12-01,258.616,CPI
2019-11-01,257.803,CPI
2019-10-01,257.244,CPI
2019-09-01,256.511,CPI
2019-08-01,256.059,CPI
2019-07-01,255.685,CPI
2019-06-01,255.159,CPI
2019-05-01,255.29,CPI
2019-04-01,255.211,CPI
2019-03-01,254.202,CPI
2019-02-01,253.322,CPI
2019-01-01,252.718,CPI
2018-12-01,252.767,CPI
2018-11-01,252.594,CPI
2018-10-01,252.772,CPI
2018-09-01,252.182,CPI
2018-08-01,251.663,CPI
2018-07-01,251.214,CPI
2018-06-01,251.018,CPI
2018-05-01,250.792,CPI
2018-04-01,250.227,CPI
2018-03-01,249.577,CPI
2018-02-01,249.529,CPI
2018-01-01,248.859,CPI
2017-12-01,247.805,CPI
2017-11-01,247.284,CPI
2017-10-01,246.626,CPI
2017-09-01,246.435,CPI
2017-08-01,245.183,CPI
2017-07-01,244.243,CPI
2017-06-01,244.163,CPI
2017-05-01,244.004,CPI
2017-04-01,244.193,CPI
2017-03-01,243.892,CPI
2017-02-01,244.006,CPI
2017-01-01,243.618,CPI
2016-12-01,242.637,CPI
2016-11-01,242.026,CPI
2016-10-01,241.741,CPI
2016-09-01,241.176,CPI
2016-08-01,240.545,CPI
2016-07-01,240.101,CPI
2016-06-01,240.222,CPI
2016-05-01,239.557,CPI
2016-04-01,238.992,CPI
2016-03-01,238.08,CPI
2016-02-01,237.336,CPI
2016-01-01,237.652,CPI
2015-12-01,237.761,CPI
2015-11-01,238.017,CPI
2015-10-01,237.733,CPI
2015-09-01,237.498,CPI
2015-08-01,238.033,CPI
