date,value,name
2023-04-01,27063.012,GDP
2023-01-01,26813.601,GDP
2022-10-01,26408.405,GDP
2022-07-01,25994.639,GDP
2022-04-01,25544.273,GDP
2022-01-01,25029.116,GDP
2021-10-01,24654.603,GDP
2021-07-01,23828.973,GDP
2021-04-01,23292.362,GDP
2021-01-01,22600.185,GDP
2020-10-01,22024.502,GDP
2020-07-01,21647.64,GDP
2020-04-01,19913.143,GDP
2020-01-01,21706.513,GDP
2019-10-01,21902.39,GDP
2019-07-01,21694.282,GDP
2019-04-01,21384.775,GDP
2019-01-01,21104.133,GDP
2018-10-01,20917.867,GDP
2018-07-01,20798.73,GDP
2018-04-01,20580.912,GDP
2018-01-01,20328.553,GDP
2017-10-01,20037.088,GDP
2017-07-01,19692.595,GDP
2017-04-01,19438.643,GDP
2017-01-01,19280.084,GDP
2016-10-01,19089.379,GDP
2016-07-01,18892.639,GDP
2016-04-01,18711.702,GDP
2016-01-01,18525.933,GDP
2015-10-01,18435.137,GDP
2015-07-01,18401.626,GDP
2015-04-01,18279.784,GDP
2015-01-01,18063.529,GDP
2014-10-01,17912.079,GDP
2014-07-01,17804.228,GDP
2014-04-01,17518.508,GDP
2014-01-01,17197.738,GDP
2013-10-01,17192.019,GDP
2013-07-01,16953.838,GDP
2013-04-01,16728.687,GDP
2013-01-01,16648.189,GDP
2012-10-01,16420.419,GDP
2012-07-01,16319.541,GDP
2012-04-01,16207.115,GDP
2012-01-01,16068.805,GDP
2011-10-01,15842.259,GDP
2011-07-01,15647.68,GDP
2011-04-01,15557.539,GDP
2011-01-01,15351.448,GDP
2010-10-01,15309.474,GDP
2010-07-01,15141.607,GDP
2010-04-01,14980.193,GDP
2010-01-01,14764.61,GDP
2009-10-01,14651.249,GDP
2009-07-01,14448.882,GDP
2009-04-01,14381.236,GDP
2009-01-01,14430.902,GDP
2008-10-01,14608.209,GDP
2008-07-01,14898.999,GDP
2008-04-01,14865.701,GDP
2008-01-01,14706.538,GDP
2007-10-01,14715.058,GDP
2007-07-01,14564.117,GDP
2007-04-01,14402.082,GDP
2007-01-01,14215.651,GDP
2006-10-01,14039.56,GDP
2006-07-01,13870.188,GDP
2006-04-01,13753.424,GDP
2006-01-01,13599.16,GDP
2005-10-01,13324.204,GDP
2005-07-01,13142.642,GDP
2005-04-01,12922.656,GDP
2005-01-01,12767.286,GDP
2004-10-01,12527.214,GDP
2004-07-01,12305.307,GDP
2004-04-01,12112.815,GDP
2004-01-01,11923.447,GDP
2003-10-01,11772.234,GDP
2003-07-01,11566.669,GDP
2003-04-01,11312.766,GDP
2003-01-01,11174.129,GDP
2002-10-01,11061.433,GDP
2002-07-01,10984.04,GDP
2002-04-01,10887.46,GDP
2002-01-01,10783.5,GDP
2001-10-01,10660.465,GDP
2001-07-01,10598.02,GDP
2001-04-01,10599.0,GDP
2001-01-01,10470.231,GDP
2000-10-01,10435.744,GDP
2000-07-01,10318.165,GDP
2000-04-01,10247.72,GDP
2000-01-01,10002.179,GDP
1999-10-01,9900.169,GDP
1999-07-01,9686.626,GDP
1999-04-01,9526.21,GDP
1999-01-01,9411.682,GDP
1998-10-01,9293.991,GDP
1998-07-01,9121.097,GDP
1998-04-01,8969.699,GDP
1998-01-01,8866.48,GDP
