date,value,name
2023-08-01,21.19,commercialBankInterestRateOnCreditCardPlansAllAccounts
2023-05-01,20.68,commercialBankInterestRateOnCreditCardPlansAllAccounts
2023-02-01,20.09,commercialBankInterestRateOnCreditCardPlansAllAccounts
2022-11-01,19.07,commercialBankInterestRateOnCreditCardPlansAllAccounts
2022-08-01,16.27,commercialBankInterestRateOnCreditCardPlansAllAccounts
2022-05-01,15.13,commercialBankInterestRateOnCreditCardPlansAllAccounts
2022-02-01,14.56,commercialBankInterestRateOnCreditCardPlansAllAccounts
2021-11-01,14.51,commercialBankInterestRateOnCreditCardPlansAllAccounts
2021-08-01,14.54,commercialBankInterestRateOnCreditCardPlansAllAccounts
2021-05-01,14.61,commercialBankInterestRateOnCreditCardPlansAllAccounts
2021-02-01,14.75,commercialBankInterestRateOnCreditCardPlansAllAccounts
2020-11-01,14.65,commercialBankInterestRateOnCreditCardPlansAllAccounts
2020-08-01,14.58,commercialBankInterestRateOnCreditCardPlansAllAccounts
2020-05-01,14.52,commercialBankInterestRateOnCreditCardPlansAllAccounts
2020-02-01,15.09,commercialBankInterestRateOnCreditCardPlansAllAccounts
2019-11-01,14.87,commercialBankInterestRateOnCreditCardPlansAllAccounts
2019-08-01,15.1,commercialBankInterestRateOnCreditCardPlansAllAccounts
2019-05-01,15.13,commercialBankInterestRateOnCreditCardPlansAllAccounts
2019-02-01,15.09,commercialBankInterestRateOnCreditCardPlansAllAccounts
2018-11-01,14.73,commercialBankInterestRateOnCreditCardPlansAllAccounts
2018-08-01,14.38,commercialBankInterestRateOnCreditCardPlansAllAccounts
2018-05-01,14.14,commercialBankInterestRateOnCreditCardPlansAllAccounts
2018-02-01,13.63,commercialBankInterestRateOnCreditCardPlansAllAccounts
2017-11-01,13.16,commercialBankInterestRateOnCreditCardPlansAllAccounts
2017-08-01,13.08,commercialBankInterestRateOnCreditCardPlansAllAccounts
2017-05-01,12.77,commercialBankInterestRateOnCreditCardPlansAllAccounts
2017-02-01,12.54,commercialBankInterestRateOnCreditCardPlansAllAccounts
2016-11-01,12.41,commercialBankInterestRateOnCreditCardPlansAllAccounts
2016-08-01,12.51,commercialBankInterestRateOnCreditCardPlansAllAccounts
2016-05-01,12.16,commercialBankInterestRateOnCreditCardPlansAllAccounts
2016-02-01,12.31,commercialBankInterestRateOnCreditCardPlansAllAccounts
2015-11-01,12.22,commercialBankInterestRateOnCreditCardPlansAllAccounts
2015-08-01,12.1,commercialBankInterestRateOnCreditCardPlansAllAccounts
2015-05-01,12.04,commercialBankInterestRateOnCreditCardPlansAllAccounts
2015-02-01,11.98,commercialBankInterestRateOnCreditCardPlansAllAccounts
2014-11-01,11.99,commercialBankInterestRateOnCreditCardPlansAllAccounts
2014-08-01,11.82,commercialBankInterestRateOnCreditCardPlansAllAccounts
2014-05-01,11.83,commercialBankInterestRateOnCreditCardPlansAllAccounts
2014-02-01,11.83,commercialBankInterestRateOnCreditCardPlansAllAccounts
2013-11-01,11.85,commercialBankInterestRateOnCreditCardPlansAllAccounts
2013-08-01,11.88,commercialBankInterestRateOnCreditCardPlansAllAccounts
2013-05-01,11.95,commercialBankInterestRateOnCreditCardPlansAllAccounts
2013-02-01,11.94,commercialBankInterestRateOnCreditCardPlansAllAccounts
2012-11-01,11.88,commercialBankInterestRateOnCreditCardPlansAllAccounts
2012-08-01,11.95,commercialBankInterestRateOnCreditCardPlansAllAccounts
2012-05-01,12.06,commercialBankInterestRateOnCreditCardPlansAllAccounts
2012-02-01,12.34,commercialBankInterestRateOnCreditCardPlansAllAccounts
2011-11-01,12.36,commercialBankInterestRateOnCreditCardPlansAllAccounts
2011-08-01,12.28,commercialBankInterestRateOnCreditCardPlansAllAccounts
2011-05-01,12.89,commercialBankInterestRateOnCreditCardPlansAllAccounts
2011-02-01,13.44,commercialBankInterestRateOnCreditCardPlansAllAccounts
2010-11-01,13.44,commercialBankInterestRateOnCreditCardPlansAllAccounts
2010-08-01,13.59,commercialBankInterestRateOnCreditCardPlansAllAccounts
2010-05-01,13.84,commercialBankInterestRateOnCreditCardPlansAllAccounts
2010-02-01,14.26,commercialBankInterestRateOnCreditCardPlansAllAccounts
2009-11-01,13.6,commercialBankInterestRateOnCreditCardPlansAllAccounts
2009-08-01,13.71,commercialBankInterestRateOnCreditCardPlansAllAccounts
2009-05-01,13.32,commercialBankInterestRateOnCreditCardPlansAllAccounts
2009-02-01,12.97,commercialBankInterestRateOnCreditCardPlansAllAccounts
2008-11-01,12.03,commercialBankInterestRateOnCreditCardPlansAllAccounts
2008-08-01,11.94,commercialBankInterestRateOnCreditCardPlansAllAccounts
2008-05-01,11.88,commercialBankInterestRateOnCreditCardPlansAllAccounts
2008-02-01,12.47,commercialBankInterestRateOnCreditCardPlansAllAccounts
2007-11-01,12.75,commercialBankInterestRateOnCreditCardPlansAllAccounts
2007-08-01,13.59,commercialBankInterestRateOnCreditCardPlansAllAccounts
2007-05-01,13.46,commercialBankInterestRateOnCreditCardPlansAllAccounts
2007-02-01,13.41,commercialBankInterestRateOnCreditCardPlansAllAccounts
2006-11-01,13.31,commercialBankInterestRateOnCreditCardPlansAllAccounts
2006-08-01,13.06,commercialBankInterestRateOnCreditCardPlansAllAccounts
2006-05-01,13.16,commercialBankInterestRateOnCreditCardPlansAllAccounts
2006-02-01,13.3,commercialBankInterestRateOnCreditCardPlansAllAccounts
2005-11-01,12.58,commercialBankInterestRateOnCreditCardPlansAllAccounts
2005-08-01,12.48,commercialBankInterestRateOnCreditCardPlansAllAccounts
2005-05-01,12.77,commercialBankInterestRateOnCreditCardPlansAllAccounts
2005-02-01,12.21,commercialBankInterestRateOnCreditCardPlansAllAccounts
2004-11-01,12.51,commercialBankInterestRateOnCreditCardPlansAllAccounts
2004-08-01,13.02,commercialBankInterestRateOnCreditCardPlansAllAccounts
2004-05-01,12.69,commercialBankInterestRateOnCreditCardPlansAllAccounts
2004-02-01,12.67,commercialBankInterestRateOnCreditCardPlansAllAccounts
2003-11-01,12.35,commercialBankInterestRateOnCreditCardPlansAllAccounts
2003-08-01,12.47,commercialBankInterestRateOnCreditCardPlansAllAccounts
2003-05-01,12.12,commercialBankInterestRateOnCreditCardPlansAllAccounts
2003-02-01,12.26,commercialBankInterestRateOnCreditCardPlansAllAccounts
2002-11-01,13.11,commercialBankInterestRateOnCreditCardPlansAllAccounts
2002-08-01,13.36,commercialBankInterestRateOnCreditCardPlansAllAccounts
2002-05-01,13.53,commercialBankInterestRateOnCreditCardPlansAllAccounts
2002-02-01,13.62,commercialBankInterestRateOnCreditCardPlansAllAccounts
2001-11-01,14.21,commercialBankInterestRateOnCreditCardPlansAllAccounts
2001-08-01,14.59,commercialBankInterestRateOnCreditCardPlansAllAccounts
2001-05-01,15.06,commercialBankInterestRateOnCreditCardPlansAllAccounts
2001-02-01,15.63,commercialBankInterestRateOnCreditCardPlansAllAccounts
2000-11-01,15.99,commercialBankInterestRateOnCreditCardPlansAllAccounts
2000-08-01,15.98,commercialBankInterestRateOnCreditCardPlansAllAccounts
2000-05-01,15.6,commercialBankInterestRateOnCreditCardPlansAllAccounts
2000-02-01,15.55,commercialBankInterestRateOnCreditCardPlansAllAccounts
1999-11-01,15.12,commercialBankInterestRateOnCreditCardPlansAllAccounts
1999-08-01,15.07,commercialBankInterestRateOnCreditCardPlansAllAccounts
1999-05-01,15.19,commercialBankInterestRateOnCreditCardPlansAllAccounts
1999-02-01,15.39,commercialBankInterestRateOnCreditCardPlansAllAccounts
1998-11-01,15.67,commercialBankInterestRateOnCreditCardPlansAllAccounts
1998-08-01,15.82,commercialBankInterestRateOnCreditCardPlansAllAccounts
1998-05-01,15.65,commercialBankInterestRateOnCreditCardPlansAllAccounts
1998-02-01,15.68,commercialBankInterestRateOnCreditCardPlansAllAccounts
