date,value,name
2023-08-01,69.5,consumerSentiment
2023-07-01,71.6,consumerSentiment
2023-06-01,64.4,consumerSentiment
2023-05-01,59.2,consumerSentiment
2023-04-01,63.5,consumerSentiment
2023-03-01,62.0,consumerSentiment
2023-02-01,67.0,consumerSentiment
2023-01-01,64.9,consumerSentiment
2022-12-01,59.7,consumerSentiment
2022-11-01,56.8,consumerSentiment
2022-10-01,59.9,consumerSentiment
2022-09-01,58.6,consumerSentiment
2022-08-01,58.2,consumerSentiment
2022-07-01,51.5,consumerSentiment
2022-06-01,50.0,consumerSentiment
2022-05-01,58.4,consumerSentiment
2022-04-01,65.2,consumerSentiment
2022-03-01,59.4,consumerSentiment
2022-02-01,62.8,consumerSentiment
2022-01-01,67.2,consumerSentiment
2021-12-01,70.6,consumerSentiment
2021-11-01,67.4,consumerSentiment
2021-10-01,71.7,consumerSentiment
2021-09-01,72.8,consumerSentiment
2021-08-01,70.3,consumerSentiment
2021-07-01,81.2,consumerSentiment
2021-06-01,85.5,consumerSentiment
2021-05-01,82.9,consumerSentiment
2021-04-01,88.3,consumerSentiment
2021-03-01,84.9,consumerSentiment
2021-02-01,76.8,consumerSentiment
2021-01-01,79.0,consumerSentiment
2020-12-01,80.7,consumerSentiment
2020-11-01,76.9,consumerSentiment
2020-10-01,81.8,consumerSentiment
2020-09-01,80.4,consumerSentiment
2020-08-01,74.1,consumerSentiment
2020-07-01,72.5,consumerSentiment
2020-06-01,78.1,consumerSentiment
2020-05-01,72.3,consumerSentiment
2020-04-01,71.8,consumerSentiment
2020-03-01,89.1,consumerSentiment
2020-02-01,101.0,consumerSentiment
2020-01-01,99.8,consumerSentiment
2019-12-01,99.3,consumerSentiment
2019-11-01,96.8,consumerSentiment
2019-10-01,95.5,consumerSentiment
2019-09-01,93.2,consumerSentiment
2019-08-01,89.8,consumerSentiment
2019-07-01,98.4,consumerSentiment
2019-06-01,98.2,consumerSentiment
2019-05-01,100.0,consumerSentiment
2019-04-01,97.2,consumerSentiment
2019-03-01,98.4,consumerSentiment
2019-02-01,93.8,consumerSentiment
