date,value,name
2023-08-01,284702,durableGoods
2023-07-01,284282,durableGoods
2023-06-01,301262,durableGoods
2023-05-01,288857,durableGoods
2023-04-01,283311,durableGoods
2023-03-01,279837,durableGoods
2023-02-01,270825,durableGoods
2023-01-01,278372,durableGoods
2022-12-01,281966,durableGoods
2022-11-01,269783,durableGoods
2022-10-01,278512,durableGoods
2022-09-01,275857,durableGoods
2022-08-01,275063,durableGoods
2022-07-01,275455,durableGoods
2022-06-01,277698,durableGoods
2022-05-01,273368,durableGoods
2022-04-01,271541,durableGoods
2022-03-01,268835,durableGoods
2022-02-01,269191,durableGoods
2022-01-01,273151,durableGoods
2021-12-01,267750,durableGoods
2021-11-01,261651,durableGoods
2021-10-01,257816,durableGoods
2021-09-01,254759,durableGoods
2021-08-01,258736,durableGoods
2021-07-01,252955,durableGoods
2021-06-01,253573,durableGoods
2021-05-01,250043,durableGoods
2021-04-01,245453,durableGoods
2021-03-01,246475,durableGoods
2021-02-01,244658,durableGoods
2021-01-01,244935,durableGoods
2020-12-01,234659,durableGoods
2020-11-01,230692,durableGoods
2020-10-01,231003,durableGoods
2020-09-01,226373,durableGoods
2020-08-01,221125,durableGoods
2020-07-01,218392,durableGoods
2020-06-01,198944,durableGoods
2020-05-01,181645,durableGoods
2020-04-01,160657,durableGoods
2020-03-01,199092,durableGoods
2020-02-01,233666,durableGoods
2020-01-01,230043,durableGoods
2019-12-01,216195,durableGoods
2019-11-01,214077,durableGoods
2019-10-01,222598,durableGoods
2019-09-01,222770,durableGoods
2019-08-01,225092,durableGoods
2019-07-01,225425,durableGoods
2019-06-01,220513,durableGoods
2019-05-01,221561,durableGoods
2019-04-01,227712,durableGoods
2019-03-01,234890,durableGoods
2019-02-01,226038,durableGoods
2019-01-01,234212,durableGoods
2018-12-01,239527,durableGoods
2018-11-01,233504,durableGoods
2018-10-01,237105,durableGoods
2018-09-01,245115,durableGoods
2018-08-01,242703,durableGoods
2018-07-01,232691,durableGoods
2018-06-01,241144,durableGoods
2018-05-01,242260,durableGoods
2018-04-01,240986,durableGoods
2018-03-01,242104,durableGoods
2018-02-01,234407,durableGoods
2018-01-01,227031,durableGoods
2017-12-01,240990,durableGoods
2017-11-01,231932,durableGoods
2017-10-01,227767,durableGoods
2017-09-01,228374,durableGoods
2017-08-01,222157,durableGoods
2017-07-01,216917,durableGoods
2017-06-01,236306,durableGoods
2017-05-01,223013,durableGoods
2017-04-01,223956,durableGoods
2017-03-01,222381,durableGoods
2017-02-01,222710,durableGoods
2017-01-01,218959,durableGoods
2016-12-01,219506,durableGoods
2016-11-01,217757,durableGoods
2016-10-01,233161,durableGoods
2016-09-01,216736,durableGoods
2016-08-01,218193,durableGoods
2016-07-01,214614,durableGoods
2016-06-01,207317,durableGoods
2016-05-01,222343,durableGoods
2016-04-01,230089,durableGoods
2016-03-01,217946,durableGoods
2016-02-01,218324,durableGoods
2016-01-01,228376,durableGoods
2015-12-01,218351,durableGoods
2015-11-01,224273,durableGoods
2015-10-01,226002,durableGoods
2015-09-01,218286,durableGoods
2015-08-01,223617,durableGoods
2015-07-01,225207,durableGoods
2015-06-01,229862,durableGoods
2015-05-01,217773,durableGoods
2015-04-01,226400,durableGoods
2015-03-01,228929,durableGoods
2015-02-01,219261,durableGoods
2015-01-01,225583,durableGoods
2014-12-01,225328,durableGoods
2014-11-01,227919,durableGoods
2014-10-01,232753,durableGoods
2014-09-01,236971,durableGoods
2014-08-01,238130,durableGoods
2014-07-01,297311,durableGoods
2014-06-01,238175,durableGoods
2014-05-01,233821,durableGoods
2014-04-01,237974,durableGoods
2014-03-01,234867,durableGoods
2014-02-01,232400,durableGoods
2014-01-01,224720,durableGoods
2013-12-01,237477,durableGoods
2013-11-01,243461,durableGoods
2013-10-01,232617,durableGoods
2013-09-01,238334,durableGoods
2013-08-01,225984,durableGoods
2013-07-01,218822,durableGoods
2013-06-01,246674,durableGoods
2013-05-01,236294,durableGoods
2013-04-01,226820,durableGoods
2013-03-01,216621,durableGoods
2013-02-01,235117,durableGoods
2013-01-01,223890,durableGoods
2012-12-01,230285,durableGoods
2012-11-01,217198,durableGoods
2012-10-01,219337,durableGoods
2012-09-01,217254,durableGoods
2012-08-01,200956,durableGoods
2012-07-01,221641,durableGoods
2012-06-01,217525,durableGoods
2012-05-01,219624,durableGoods
2012-04-01,218638,durableGoods
2012-03-01,221576,durableGoods
2012-02-01,226558,durableGoods
2012-01-01,225937,durableGoods
2011-12-01,223835,durableGoods
2011-11-01,215531,durableGoods
2011-10-01,210799,durableGoods
2011-09-01,204738,durableGoods
2011-08-01,216705,durableGoods
2011-07-01,206458,durableGoods
2011-06-01,201579,durableGoods
2011-05-01,207170,durableGoods
2011-04-01,200733,durableGoods
2011-03-01,212748,durableGoods
2011-02-01,196393,durableGoods
2011-01-01,203636,durableGoods
2010-12-01,193452,durableGoods
2010-11-01,197202,durableGoods
2010-10-01,193066,durableGoods
2010-09-01,201932,durableGoods
2010-08-01,191745,durableGoods
2010-07-01,187506,durableGoods
2010-06-01,185667,durableGoods
2010-05-01,189932,durableGoods
2010-04-01,182948,durableGoods
2010-03-01,182148,durableGoods
2010-02-01,180450,durableGoods
2010-01-01,181016,durableGoods
2009-12-01,160520,durableGoods
2009-11-01,160419,durableGoods
2009-10-01,161097,durableGoods
2009-09-01,158041,durableGoods
2009-08-01,157489,durableGoods
2009-07-01,153691,durableGoods
2009-06-01,147033,durableGoods
2009-05-01,149255,durableGoods
2009-04-01,147467,durableGoods
2009-03-01,146323,durableGoods
2009-02-01,148834,durableGoods
2009-01-01,151085,durableGoods
2008-12-01,173849,durableGoods
2008-11-01,181552,durableGoods
2008-10-01,191912,durableGoods
2008-09-01,215245,durableGoods
2008-08-01,214106,durableGoods
2008-07-01,220411,durableGoods
2008-06-01,229262,durableGoods
2008-05-01,227370,durableGoods
2008-04-01,231086,durableGoods
2008-03-01,234868,durableGoods
2008-02-01,235037,durableGoods
2008-01-01,239389,durableGoods
2007-12-01,244443,durableGoods
2007-11-01,227005,durableGoods
2007-10-01,230700,durableGoods
2007-09-01,226473,durableGoods
2007-08-01,235758,durableGoods
2007-07-01,233176,durableGoods
2007-06-01,228868,durableGoods
2007-05-01,228836,durableGoods
2007-04-01,233420,durableGoods
2007-03-01,229526,durableGoods
2007-02-01,220962,durableGoods
2007-01-01,222969,durableGoods
2006-12-01,229243,durableGoods
2006-11-01,224809,durableGoods
2006-10-01,216952,durableGoods
2006-09-01,234701,durableGoods
2006-08-01,210473,durableGoods
2006-07-01,209494,durableGoods
2006-06-01,221220,durableGoods
2006-05-01,215819,durableGoods
2006-04-01,214625,durableGoods
2006-03-01,227188,durableGoods
2006-02-01,219738,durableGoods
2006-01-01,209540,durableGoods
2005-12-01,221499,durableGoods
2005-11-01,220733,durableGoods
2005-10-01,209901,durableGoods
2005-09-01,203997,durableGoods
2005-08-01,204839,durableGoods
2005-07-01,194475,durableGoods
2005-06-01,210020,durableGoods
2005-05-01,206623,durableGoods
2005-04-01,194847,durableGoods
2005-03-01,186608,durableGoods
2005-02-01,196475,durableGoods
2005-01-01,194875,durableGoods
2004-12-01,193578,durableGoods
2004-11-01,192545,durableGoods
2004-10-01,185187,durableGoods
2004-09-01,188444,durableGoods
2004-08-01,183728,durableGoods
2004-07-01,186835,durableGoods
2004-06-01,185640,durableGoods
2004-05-01,183459,durableGoods
2004-04-01,184368,durableGoods
2004-03-01,190869,durableGoods
2004-02-01,181662,durableGoods
2004-01-01,178696,durableGoods
2003-12-01,181513,durableGoods
2003-11-01,181685,durableGoods
2003-10-01,183704,durableGoods
2003-09-01,178690,durableGoods
2003-08-01,173044,durableGoods
2003-07-01,173320,durableGoods
2003-06-01,173507,durableGoods
2003-05-01,171542,durableGoods
2003-04-01,169347,durableGoods
2003-03-01,172245,durableGoods
2003-02-01,174113,durableGoods
2003-01-01,169994,durableGoods
2002-12-01,163962,durableGoods
2002-11-01,170023,durableGoods
2002-10-01,169134,durableGoods
2002-09-01,166838,durableGoods
2002-08-01,177126,durableGoods
2002-07-01,174282,durableGoods
2002-06-01,166070,durableGoods
2002-05-01,171854,durableGoods
2002-04-01,171852,durableGoods
2002-03-01,167853,durableGoods
2002-02-01,172406,durableGoods
2002-01-01,163324,durableGoods
2001-12-01,165304,durableGoods
2001-11-01,163811,durableGoods
2001-10-01,171530,durableGoods
2001-09-01,164123,durableGoods
2001-08-01,170484,durableGoods
2001-07-01,170129,durableGoods
2001-06-01,176350,durableGoods
2001-05-01,177749,durableGoods
2001-04-01,171850,durableGoods
2001-03-01,182209,durableGoods
2001-02-01,180276,durableGoods
2001-01-01,177056,durableGoods
2000-12-01,188659,durableGoods
2000-11-01,189392,durableGoods
2000-10-01,186158,durableGoods
2000-09-01,199947,durableGoods
2000-08-01,188730,durableGoods
2000-07-01,189265,durableGoods
2000-06-01,219745,durableGoods
2000-05-01,188606,durableGoods
2000-04-01,195044,durableGoods
2000-03-01,192130,durableGoods
2000-02-01,183911,durableGoods
2000-01-01,201360,durableGoods
1999-12-01,196344,durableGoods
1999-11-01,186597,durableGoods
1999-10-01,194547,durableGoods
1999-09-01,188910,durableGoods
1999-08-01,189414,durableGoods
1999-07-01,189083,durableGoods
1999-06-01,182590,durableGoods
1999-05-01,185963,durableGoods
1999-04-01,182993,durableGoods
1999-03-01,184689,durableGoods
1999-02-01,185546,durableGoods
1999-01-01,186527,durableGoods
1998-12-01,178424,durableGoods
1998-11-01,182400,durableGoods
1998-10-01,178527,durableGoods
1998-09-01,181422,durableGoods
1998-08-01,179033,durableGoods
1998-07-01,170459,durableGoods
1998-06-01,172189,durableGoods
1998-05-01,180634,durableGoods
1998-04-01,180915,durableGoods
1998-03-01,176886,durableGoods
1998-02-01,181270,durableGoods
1998-01-01,174288,durableGoods
