date,value,name
2023-09-01,103.6115,industrialProductionTotalIndex
2023-08-01,103.317,industrialProductionTotalIndex
2023-07-01,103.2895,industrialProductionTotalIndex
2023-06-01,102.2924,industrialProductionTotalIndex
2023-05-01,102.8498,industrialProductionTotalIndex
2023-04-01,103.1512,industrialProductionTotalIndex
2023-03-01,102.6592,industrialProductionTotalIndex
2023-02-01,102.5671,industrialProductionTotalIndex
2023-01-01,102.5478,industrialProductionTotalIndex
2022-12-01,101.4848,industrialProductionTotalIndex
2022-11-01,103.0707,industrialProductionTotalIndex
2022-10-01,103.4114,industrialProductionTotalIndex
2022-09-01,103.5283,industrialProductionTotalIndex
2022-08-01,103.2344,industrialProductionTotalIndex
2022-07-01,103.1328,industrialProductionTotalIndex
2022-06-01,102.6863,industrialProductionTotalIndex
2022-05-01,102.7769,industrialProductionTotalIndex
2022-04-01,102.7953,industrialProductionTotalIndex
2022-03-01,102.478,industrialProductionTotalIndex
2022-02-01,101.6766,industrialProductionTotalIndex
2022-01-01,101.0227,industrialProductionTotalIndex
2021-12-01,100.886,industrialProductionTotalIndex
2021-11-01,101.1971,industrialProductionTotalIndex
2021-10-01,100.3045,industrialProductionTotalIndex
2021-09-01,99.0614,industrialProductionTotalIndex
2021-08-01,100.1255,industrialProductionTotalIndex
2021-07-01,100.1231,industrialProductionTotalIndex
2021-06-01,99.5096,industrialProductionTotalIndex
2021-05-01,99.1508,industrialProductionTotalIndex
2021-04-01,98.2886,industrialProductionTotalIndex
2021-03-01,98.1351,industrialProductionTotalIndex
2021-02-01,95.3744,industrialProductionTotalIndex
2021-01-01,98.7836,industrialProductionTotalIndex
2020-12-01,97.9754,industrialProductionTotalIndex
2020-11-01,96.8564,industrialProductionTotalIndex
2020-10-01,96.4292,industrialProductionTotalIndex
2020-09-01,95.8444,industrialProductionTotalIndex
2020-08-01,95.8881,industrialProductionTotalIndex
2020-07-01,95.0144,industrialProductionTotalIndex
2020-06-01,91.5625,industrialProductionTotalIndex
2020-05-01,85.9732,industrialProductionTotalIndex
2020-04-01,84.5979,industrialProductionTotalIndex
2020-03-01,97.6672,industrialProductionTotalIndex
2020-02-01,101.633,industrialProductionTotalIndex
2020-01-01,101.3768,industrialProductionTotalIndex
2019-12-01,101.884,industrialProductionTotalIndex
2019-11-01,102.148,industrialProductionTotalIndex
2019-10-01,101.6022,industrialProductionTotalIndex
2019-09-01,102.5315,industrialProductionTotalIndex
2019-08-01,102.7754,industrialProductionTotalIndex
2019-07-01,102.0236,industrialProductionTotalIndex
2019-06-01,102.4893,industrialProductionTotalIndex
2019-05-01,102.4192,industrialProductionTotalIndex
2019-04-01,102.2481,industrialProductionTotalIndex
2019-03-01,102.8286,industrialProductionTotalIndex
2019-02-01,102.8292,industrialProductionTotalIndex
2019-01-01,103.373,industrialProductionTotalIndex
2018-12-01,103.9946,industrialProductionTotalIndex
2018-11-01,104.0007,industrialProductionTotalIndex
2018-10-01,103.9397,industrialProductionTotalIndex
2018-09-01,104.1181,industrialProductionTotalIndex
2018-08-01,104.0807,industrialProductionTotalIndex
2018-07-01,103.3334,industrialProductionTotalIndex
2018-06-01,103.1924,industrialProductionTotalIndex
2018-05-01,102.3911,industrialProductionTotalIndex
2018-04-01,103.3468,industrialProductionTotalIndex
2018-03-01,102.2441,industrialProductionTotalIndex
2018-02-01,101.7656,industrialProductionTotalIndex
2018-01-01,101.3939,industrialProductionTotalIndex
2017-12-01,101.4573,industrialProductionTotalIndex
2017-11-01,101.2597,industrialProductionTotalIndex
2017-10-01,100.9981,industrialProductionTotalIndex
2017-09-01,99.7686,industrialProductionTotalIndex
2017-08-01,99.6642,industrialProductionTotalIndex
2017-07-01,100.0947,industrialProductionTotalIndex
2017-06-01,100.3233,industrialProductionTotalIndex
2017-05-01,100.1286,industrialProductionTotalIndex
2017-04-01,100.0082,industrialProductionTotalIndex
2017-03-01,99.0663,industrialProductionTotalIndex
2017-02-01,98.4322,industrialProductionTotalIndex
2017-01-01,98.7987,industrialProductionTotalIndex
