date,value,name
2023-10-16,2.38,inflationRate
2023-10-13,2.34,inflationRate
2023-10-12,2.34,inflationRate
2023-10-11,2.32,inflationRate
2023-10-10,2.32,inflationRate
2023-10-06,2.31,inflationRate
2023-10-05,2.31,inflationRate
2023-10-04,2.33,inflationRate
2023-10-03,2.36,inflationRate
2023-10-02,2.35,inflationRate
2023-09-29,2.35,inflationRate
2023-09-28,2.39,inflationRate
2023-09-27,2.34,inflationRate
2023-09-26,2.33,inflationRate
2023-09-25,2.37,inflationRate
2023-09-22,2.37,inflationRate
2023-09-21,2.38,inflationRate
2023-09-20,2.35,inflationRate
2023-09-19,2.37,inflationRate
2023-09-18,2.36,inflationRate
2023-09-15,2.35,inflationRate
2023-09-14,2.34,inflationRate
2023-09-13,2.35,inflationRate
2023-09-12,2.34,inflationRate
2023-09-11,2.35,inflationRate
2023-09-08,2.33,inflationRate
2023-09-07,2.32,inflationRate
2023-09-06,2.3,inflationRate
2023-09-05,2.29,inflationRate
2023-09-01,2.26,inflationRate
2023-08-31,2.24,inflationRate
2023-08-30,2.26,inflationRate
2023-08-29,2.29,inflationRate
2023-08-28,2.3,inflationRate
2023-08-25,2.33,inflationRate
2023-08-24,2.32,inflationRate
2023-08-23,2.35,inflationRate
2023-08-22,2.35,inflationRate
2023-08-21,2.34,inflationRate
2023-08-18,2.32,inflationRate
2023-08-17,2.33,inflationRate
2023-08-16,2.32,inflationRate
2023-08-15,2.32,inflationRate
2023-08-14,2.36,inflationRate
2023-08-11,2.36,inflationRate
2023-08-10,2.33,inflationRate
2023-08-09,2.34,inflationRate
2023-08-08,2.36,inflationRate
2023-08-07,2.41,inflationRate
2023-08-04,2.38,inflationRate
2023-08-03,2.37,inflationRate
2023-08-02,2.36,inflationRate
2023-08-01,2.37,inflationRate
2023-07-31,2.37,inflationRate
2023-07-28,2.38,inflationRate
2023-07-27,2.37,inflationRate
2023-07-26,2.36,inflationRate
2023-07-25,2.39,inflationRate
2023-07-24,2.38,inflationRate
2023-07-21,2.35,inflationRate
2023-07-20,2.35,inflationRate
2023-07-19,2.22,inflationRate
2023-07-18,2.23,inflationRate
2023-07-17,2.25,inflationRate
2023-07-14,2.24,inflationRate
2023-07-13,2.24,inflationRate
2023-07-12,2.26,inflationRate
2023-07-11,2.24,inflationRate
2023-07-10,2.25,inflationRate
2023-07-07,2.27,inflationRate
2023-07-06,2.27,inflationRate
2023-07-05,2.26,inflationRate
2023-07-03,2.25,inflationRate
2023-06-30,2.22,inflationRate
2023-06-29,2.2,inflationRate
2023-06-28,2.18,inflationRate
2023-06-27,2.2,inflationRate
2023-06-26,2.18,inflationRate
2023-06-23,2.21,inflationRate
2023-06-22,2.24,inflationRate
2023-06-21,2.21,inflationRate
2023-06-20,2.22,inflationRate
2023-06-16,2.22,inflationRate
2023-06-15,2.21,inflationRate
2023-06-14,2.21,inflationRate
2023-06-13,2.2,inflationRate
2023-06-12,2.17,inflationRate
2023-06-09,2.2,inflationRate
2023-06-08,2.2,inflationRate
2023-06-07,2.21,inflationRate
2023-06-06,2.2,inflationRate
2023-06-05,2.19,inflationRate
2023-06-02,2.18,inflationRate
2023-06-01,2.16,inflationRate
2023-05-31,2.18,inflationRate
2023-05-30,2.22,inflationRate
2023-05-26,2.23,inflationRate
2023-05-25,2.25,inflationRate
2023-05-24,2.25,inflationRate
2023-05-23,2.26,inflationRate
2023-05-22,2.24,inflationRate
2023-05-19,2.24,inflationRate
2023-05-18,2.23,inflationRate
2023-05-17,2.22,inflationRate
2023-05-16,2.19,inflationRate
