date,value,name
2023-10-07,209000,initialClaims
2023-09-30,209000,initialClaims
2023-09-23,205000,initialClaims
2023-09-16,202000,initialClaims
2023-09-09,221000,initialClaims
2023-09-02,217000,initialClaims
2023-08-26,229000,initialClaims
2023-08-19,232000,initialClaims
2023-08-12,240000,initialClaims
2023-08-05,250000,initialClaims
2023-07-29,227000,initialClaims
2023-07-22,221000,initialClaims
2023-07-15,228000,initialClaims
2023-07-08,237000,initialClaims
2023-07-01,249000,initialClaims
2023-06-24,236000,initialClaims
2023-06-17,265000,initialClaims
2023-06-10,264000,initialClaims
2023-06-03,262000,initialClaims
2023-05-27,233000,initialClaims
2023-05-20,230000,initialClaims
2023-05-13,225000,initialClaims
2023-05-06,231000,initialClaims
2023-04-29,242000,initialClaims
2023-04-22,229000,initialClaims
2023-04-15,246000,initialClaims
2023-04-08,240000,initialClaims
2023-04-01,228000,initialClaims
2023-03-25,246000,initialClaims
2023-03-18,247000,initialClaims
2023-03-11,230000,initialClaims
2023-03-04,245000,initialClaims
2023-02-25,221000,initialClaims
2023-02-18,217000,initialClaims
2023-02-11,216000,initialClaims
2023-02-04,220000,initialClaims
2023-01-28,199000,initialClaims
2023-01-21,194000,initialClaims
2023-01-14,200000,initialClaims
2023-01-07,205000,initialClaims
2022-12-31,206000,initialClaims
2022-12-24,213000,initialClaims
2022-12-17,212000,initialClaims
2022-12-10,206000,initialClaims
2022-12-03,216000,initialClaims
2022-11-26,213000,initialClaims
2022-11-19,219000,initialClaims
2022-11-12,211000,initialClaims
2022-11-05,207000,initialClaims
2022-10-29,204000,initialClaims
2022-10-22,201000,initialClaims
2022-10-15,198000,initialClaims
2022-10-08,206000,initialClaims
2022-10-01,198000,initialClaims
2022-09-24,182000,initialClaims
2022-09-17,191000,initialClaims
2022-09-10,192000,initialClaims
2022-09-03,197000,initialClaims
2022-08-27,206000,initialClaims
2022-08-20,208000,initialClaims
2022-08-13,213000,initialClaims
2022-08-06,214000,initialClaims
2022-07-30,218000,initialClaims
2022-07-23,211000,initialClaims
2022-07-16,213000,initialClaims
2022-07-09,221000,initialClaims
2022-07-02,212000,initialClaims
2022-06-25,213000,initialClaims
2022-06-18,216000,initialClaims
2022-06-11,217000,initialClaims
2022-06-04,221000,initialClaims
2022-05-28,202000,initialClaims
2022-05-21,215000,initialClaims
2022-05-14,222000,initialClaims
2022-05-07,210000,initialClaims
2022-04-30,218000,initialClaims
2022-04-23,207000,initialClaims
2022-04-16,217000,initialClaims
2022-04-09,222000,initialClaims
2022-04-02,214000,initialClaims
2022-03-26,214000,initialClaims
2022-03-19,214000,initialClaims
2022-03-12,216000,initialClaims
2022-03-05,228000,initialClaims
2022-02-26,213000,initialClaims
2022-02-19,226000,initialClaims
2022-02-12,232000,initialClaims
2022-02-05,217000,initialClaims
2022-01-29,233000,initialClaims
2022-01-22,232000,initialClaims
2022-01-15,251000,initialClaims
2022-01-08,243000,initialClaims
2022-01-01,228000,initialClaims
2021-12-25,203000,initialClaims
2021-12-18,217000,initialClaims
2021-12-11,222000,initialClaims
2021-12-04,216000,initialClaims
2021-11-27,225000,initialClaims
2021-11-20,226000,initialClaims
2021-11-13,250000,initialClaims
2021-11-06,257000,initialClaims
2021-10-30,264000,initialClaims
2021-10-23,269000,initialClaims
2021-10-16,288000,initialClaims
2021-10-09,289000,initialClaims
2021-10-02,307000,initialClaims
2021-09-25,356000,initialClaims
2021-09-18,344000,initialClaims
2021-09-11,332000,initialClaims
2021-09-04,330000,initialClaims
2021-08-28,343000,initialClaims
2021-08-21,347000,initialClaims
2021-08-14,356000,initialClaims
2021-08-07,351000,initialClaims
2021-07-31,365000,initialClaims
2021-07-24,363000,initialClaims
2021-07-17,379000,initialClaims
2021-07-10,350000,initialClaims
2021-07-03,362000,initialClaims
2021-06-26,372000,initialClaims
2021-06-19,422000,initialClaims
2021-06-12,428000,initialClaims
2021-06-05,420000,initialClaims
2021-05-29,427000,initialClaims
2021-05-22,441000,initialClaims
2021-05-15,467000,initialClaims
2021-05-08,494000,initialClaims
2021-05-01,517000,initialClaims
2021-04-24,574000,initialClaims
2021-04-17,566000,initialClaims
2021-04-10,571000,initialClaims
2021-04-03,645000,initialClaims
2021-03-27,658000,initialClaims
2021-03-20,627000,initialClaims
2021-03-13,699000,initialClaims
2021-03-06,693000,initialClaims
2021-02-27,704000,initialClaims
2021-02-20,702000,initialClaims
2021-02-13,802000,initialClaims
2021-02-06,812000,initialClaims
2021-01-30,803000,initialClaims
2021-01-23,799000,initialClaims
2021-01-16,844000,initialClaims
2021-01-09,890000,initialClaims
2021-01-02,803000,initialClaims
2020-12-26,773000,initialClaims
2020-12-19,815000,initialClaims
2020-12-12,886000,initialClaims
2020-12-05,873000,initialClaims
2020-11-28,737000,initialClaims
2020-11-21,793000,initialClaims
2020-11-14,738000,initialClaims
2020-11-07,737000,initialClaims
2020-10-31,773000,initialClaims
2020-10-24,776000,initialClaims
2020-10-17,804000,initialClaims
2020-10-10,839000,initialClaims
2020-10-03,785000,initialClaims
2020-09-26,795000,initialClaims
2020-09-19,859000,initialClaims
2020-09-12,861000,initialClaims
2020-09-05,892000,initialClaims
2020-08-29,881000,initialClaims
2020-08-22,876000,initialClaims
2020-08-15,927000,initialClaims
2020-08-08,884000,initialClaims
2020-08-01,1044000,initialClaims
2020-07-25,1260000,initialClaims
2020-07-18,1393000,initialClaims
2020-07-11,1468000,initialClaims
2020-07-04,1413000,initialClaims
2020-06-27,1446000,initialClaims
2020-06-20,1467000,initialClaims
2020-06-13,1473000,initialClaims
2020-06-06,1575000,initialClaims
2020-05-30,1639000,initialClaims
2020-05-23,1921000,initialClaims
2020-05-16,2176000,initialClaims
2020-05-09,2335000,initialClaims
2020-05-02,2796000,initialClaims
2020-04-25,3446000,initialClaims
2020-04-18,4201000,initialClaims
2020-04-11,4869000,initialClaims
2020-04-04,6137000,initialClaims
2020-03-28,5946000,initialClaims
2020-03-21,2914000,initialClaims
2020-03-14,278000,initialClaims
2020-03-07,213000,initialClaims
2020-02-29,219000,initialClaims
2020-02-22,222000,initialClaims
2020-02-15,210000,initialClaims
2020-02-08,207000,initialClaims
2020-02-01,208000,initialClaims
2020-01-25,210000,initialClaims
2020-01-18,221000,initialClaims
2020-01-11,209000,initialClaims
2020-01-04,222000,initialClaims
2019-12-28,233000,initialClaims
2019-12-21,231000,initialClaims
2019-12-14,230000,initialClaims
2019-12-07,248000,initialClaims
2019-11-30,229000,initialClaims
2019-11-23,220000,initialClaims
2019-11-16,227000,initialClaims
2019-11-09,228000,initialClaims
2019-11-02,213000,initialClaims
2019-10-26,217000,initialClaims
2019-10-19,211000,initialClaims
2019-10-12,210000,initialClaims
2019-10-05,209000,initialClaims
2019-09-28,209000,initialClaims
2019-09-21,203000,initialClaims
2019-09-14,206000,initialClaims
2019-09-07,197000,initialClaims
2019-08-31,207000,initialClaims
2019-08-24,210000,initialClaims
2019-08-17,204000,initialClaims
2019-08-10,208000,initialClaims
2019-08-03,205000,initialClaims
2019-07-27,200000,initialClaims
2019-07-20,198000,initialClaims
2019-07-13,210000,initialClaims
2019-07-06,213000,initialClaims
2019-06-29,223000,initialClaims
2019-06-22,226000,initialClaims
2019-06-15,218000,initialClaims
2019-06-08,226000,initialClaims
2019-06-01,223000,initialClaims
2019-05-25,221000,initialClaims
2019-05-18,213000,initialClaims
2019-05-11,215000,initialClaims
2019-05-04,226000,initialClaims
2019-04-27,225000,initialClaims
2019-04-20,224000,initialClaims
2019-04-13,205000,initialClaims
2019-04-06,203000,initialClaims
2019-03-30,206000,initialClaims
2019-03-23,217000,initialClaims
2019-03-16,218000,initialClaims
2019-03-09,225000,initialClaims
2019-03-02,223000,initialClaims
2019-02-23,225000,initialClaims
2019-02-16,215000,initialClaims
2019-02-09,231000,initialClaims
2019-02-02,235000,initialClaims
2019-01-26,235000,initialClaims
2019-01-19,213000,initialClaims
2019-01-12,217000,initialClaims
2019-01-05,226000,initialClaims
2018-12-29,238000,initialClaims
2018-12-22,228000,initialClaims
