date,value,name
2023-08-01,1283,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-07-01,1447,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-06-01,1418,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-05-01,1583,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-04-01,1348,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-03-01,1380,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-02-01,1436,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2023-01-01,1340,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-12-01,1357,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-11-01,1427,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-10-01,1432,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-09-01,1463,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-08-01,1505,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-07-01,1371,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-06-01,1561,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-05-01,1543,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-04-01,1803,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-03-01,1713,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-02-01,1771,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2022-01-01,1669,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-12-01,1787,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-11-01,1712,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-10-01,1572,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-09-01,1560,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-08-01,1576,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-07-01,1593,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-06-01,1661,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-05-01,1600,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-04-01,1484,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-03-01,1700,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-02-01,1422,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2021-01-01,1602,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-12-01,1663,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-11-01,1545,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-10-01,1537,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-09-01,1463,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-08-01,1377,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-07-01,1529,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-06-01,1266,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-05-01,1054,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-04-01,925,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-03-01,1267,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-02-01,1565,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2020-01-01,1572,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-12-01,1551,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-11-01,1346,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-10-01,1332,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-09-01,1300,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-08-01,1367,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-07-01,1245,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-06-01,1228,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-05-01,1307,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-04-01,1267,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-03-01,1195,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-02-01,1128,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2019-01-01,1232,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-12-01,1095,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-11-01,1181,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-10-01,1221,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-09-01,1250,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-08-01,1288,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-07-01,1208,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-06-01,1192,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-05-01,1357,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-04-01,1276,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-03-01,1318,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-02-01,1277,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2018-01-01,1299,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-12-01,1177,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-11-01,1273,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-10-01,1257,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-09-01,1181,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-08-01,1159,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-07-01,1206,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-06-01,1249,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-05-01,1157,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-04-01,1146,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-03-01,1190,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-02-01,1271,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2017-01-01,1190,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-12-01,1252,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-11-01,1140,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-10-01,1313,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-09-01,1068,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-08-01,1171,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-07-01,1239,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-06-01,1203,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-05-01,1148,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-04-01,1163,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-03-01,1111,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-02-01,1225,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2016-01-01,1092,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-12-01,1146,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-11-01,1172,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-10-01,1058,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-09-01,1224,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-08-01,1130,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-07-01,1146,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-06-01,1205,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-05-01,1079,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-04-01,1190,newPrivatelyOwnedHousingUnitsStartedTotalUnits
2015-03-01,960,newPrivatelyOwnedHousingUnitsStartedTotalUnits
