date,value,name
2023-10-01,27581.52,nominalPotentialGDP
2023-07-01,27272.95,nominalPotentialGDP
2023-04-01,26978.75,nominalPotentialGDP
2023-01-01,26714.29,nominalPotentialGDP
2022-10-01,26334.48,nominalPotentialGDP
2022-07-01,25968.85,nominalPotentialGDP
2022-04-01,25576.56,nominalPotentialGDP
2022-01-01,24906.62,nominalPotentialGDP
2021-10-01,24290.40575545352,nominalPotentialGDP
2021-07-01,23771.05641291916,nominalPotentialGDP
2021-04-01,23297.78768600554,nominalPotentialGDP
2021-01-01,22831.118900763795,nominalPotentialGDP
2020-10-01,22448.827497245948,nominalPotentialGDP
2020-07-01,22213.389507942535,nominalPotentialGDP
2020-04-01,21942.39543778732,nominalPotentialGDP
2020-01-01,21931.12947456769,nominalPotentialGDP
2019-10-01,21742.1003448852,nominalPotentialGDP
2019-07-01,21558.371402569286,nominalPotentialGDP
2019-04-01,21384.12055730799,nominalPotentialGDP
2019-01-01,21165.278463854218,nominalPotentialGDP
2018-10-01,20986.997171311697,nominalPotentialGDP
2018-07-01,20795.9933914061,nominalPotentialGDP
2018-04-01,20628.881641874003,nominalPotentialGDP
2018-01-01,20354.57377663502,nominalPotentialGDP
2017-10-01,20128.666588447657,nominalPotentialGDP
2017-07-01,19889.614189049804,nominalPotentialGDP
2017-04-01,19693.067373727936,nominalPotentialGDP
2017-01-01,19543.08922681448,nominalPotentialGDP
2016-10-01,19362.139651271085,nominalPotentialGDP
2016-07-01,19186.582973257857,nominalPotentialGDP
2016-04-01,19060.15294491349,nominalPotentialGDP
2016-01-01,18850.166738500047,nominalPotentialGDP
2015-10-01,18782.726082015568,nominalPotentialGDP
2015-07-01,18696.745823740817,nominalPotentialGDP
2015-04-01,18549.968891906065,nominalPotentialGDP
2015-01-01,18358.11767351436,nominalPotentialGDP
2014-10-01,18273.465404409337,nominalPotentialGDP
2014-07-01,18153.573017662526,nominalPotentialGDP
2014-04-01,17987.587249747758,nominalPotentialGDP
2014-01-01,17802.961138938666,nominalPotentialGDP
2013-10-01,17648.21747026064,nominalPotentialGDP
2013-07-01,17465.71997876685,nominalPotentialGDP
2013-04-01,17308.583368505282,nominalPotentialGDP
2013-01-01,17185.971429858564,nominalPotentialGDP
2012-10-01,17045.623970752396,nominalPotentialGDP
2012-07-01,16887.47964373295,nominalPotentialGDP
2012-04-01,16726.430573535134,nominalPotentialGDP
2012-01-01,16580.97390032066,nominalPotentialGDP
2011-10-01,16398.201052117576,nominalPotentialGDP
2011-07-01,16293.794238874438,nominalPotentialGDP
2011-04-01,16112.07259712693,nominalPotentialGDP
2011-01-01,15932.783088995942,nominalPotentialGDP
2010-10-01,15788.392753574639,nominalPotentialGDP
2010-07-01,15642.49327532066,nominalPotentialGDP
2010-04-01,15546.702819981841,nominalPotentialGDP
2010-01-01,15425.008111132101,nominalPotentialGDP
2009-10-01,15335.694869467625,nominalPotentialGDP
2009-07-01,15236.229020698649,nominalPotentialGDP
2009-04-01,15167.379758970466,nominalPotentialGDP
2009-01-01,15138.024399070393,nominalPotentialGDP
2008-10-01,15085.813997605537,nominalPotentialGDP
2008-07-01,14986.588593662209,nominalPotentialGDP
2008-04-01,14808.752285528233,nominalPotentialGDP
2008-01-01,14667.668108803646,nominalPotentialGDP
2007-10-01,14549.742781569663,nominalPotentialGDP
2007-07-01,14421.608159946716,nominalPotentialGDP
2007-04-01,14279.592095523843,nominalPotentialGDP
2007-01-01,14115.698198838769,nominalPotentialGDP
2006-10-01,13910.347956895303,nominalPotentialGDP
2006-07-01,13785.150336512039,nominalPotentialGDP
2006-04-01,13613.184979749678,nominalPotentialGDP
2006-01-01,13416.03878440894,nominalPotentialGDP
2005-10-01,13246.19762006621,nominalPotentialGDP
2005-07-01,13064.541674941105,nominalPotentialGDP
2005-04-01,12871.194792813003,nominalPotentialGDP
2005-01-01,12701.44875678517,nominalPotentialGDP
2004-10-01,12521.363841951019,nominalPotentialGDP
2004-07-01,12344.461768345474,nominalPotentialGDP
2004-04-01,12187.132626832916,nominalPotentialGDP
2004-01-01,12015.854561119382,nominalPotentialGDP
2003-10-01,11861.434309829705,nominalPotentialGDP
2003-07-01,11721.783643688239,nominalPotentialGDP
2003-04-01,11588.65358999287,nominalPotentialGDP
2003-01-01,11478.864593274275,nominalPotentialGDP
2002-10-01,11348.205157272841,nominalPotentialGDP
2002-07-01,11207.182088209422,nominalPotentialGDP
2002-04-01,11075.802527763719,nominalPotentialGDP
2002-01-01,10960.400610300909,nominalPotentialGDP
2001-10-01,10849.056765598238,nominalPotentialGDP
2001-07-01,10738.994094855238,nominalPotentialGDP
2001-04-01,10619.343222750056,nominalPotentialGDP
2001-01-01,10475.69805417273,nominalPotentialGDP
2000-10-01,10324.554814650714,nominalPotentialGDP
2000-07-01,10180.882323252177,nominalPotentialGDP
2000-04-01,10025.583174116908,nominalPotentialGDP
2000-01-01,9857.837947500944,nominalPotentialGDP
1999-10-01,9678.165253389168,nominalPotentialGDP
1999-07-01,9507.449332319984,nominalPotentialGDP
1999-04-01,9358.34619545861,nominalPotentialGDP
1999-01-01,9213.49633361119,nominalPotentialGDP
1998-10-01,9083.260135726774,nominalPotentialGDP
1998-07-01,8965.471344430423,nominalPotentialGDP
1998-04-01,8840.014521508841,nominalPotentialGDP
1998-01-01,8735.51277274339,nominalPotentialGDP
