date,value,name
2023-04-01,22225.35,realGDP
2023-01-01,22112.329,realGDP
2022-10-01,21989.981,realGDP
2022-07-01,21851.134,realGDP
2022-04-01,21708.16,realGDP
2022-01-01,21738.871,realGDP
2021-10-01,21847.602,realGDP
2021-07-01,21483.083,realGDP
2021-04-01,21309.544,realGDP
2021-01-01,20990.541,realGDP
2020-10-01,20724.128,realGDP
2020-07-01,20511.785,realGDP
2020-04-01,19034.83,realGDP
2020-01-01,20665.553,realGDP
2019-10-01,20951.088,realGDP
2019-07-01,20817.581,realGDP
2019-04-01,20584.528,realGDP
2019-01-01,20415.15,realGDP
2018-10-01,20304.874,realGDP
2018-07-01,20276.154,realGDP
2018-04-01,20150.476,realGDP
2018-01-01,20044.077,realGDP
2017-10-01,19882.352,realGDP
2017-07-01,19660.766,realGDP
2017-04-01,19506.949,realGDP
2017-01-01,19398.343,realGDP
2016-10-01,19304.352,realGDP
2016-07-01,19197.938,realGDP
2016-04-01,19062.709,realGDP
2016-01-01,19001.69,realGDP
2015-10-01,18892.206,realGDP
2015-07-01,18857.418,realGDP
2015-04-01,18782.243,realGDP
2015-01-01,18666.621,realGDP
2014-10-01,18500.031,realGDP
2014-07-01,18406.941,realGDP
2014-04-01,18185.911,realGDP
2014-01-01,17953.974,realGDP
2013-10-01,18016.147,realGDP
2013-07-01,17860.45,realGDP
2013-04-01,17709.671,realGDP
2013-01-01,17662.4,realGDP
2012-10-01,17489.852,realGDP
2012-07-01,17469.65,realGDP
2012-04-01,17444.525,realGDP
2012-01-01,17367.01,realGDP
2011-10-01,17222.583,realGDP
2011-07-01,17031.313,realGDP
2011-04-01,17035.114,realGDP
2011-01-01,16920.632,realGDP
2010-10-01,16960.864,realGDP
2010-07-01,16872.266,realGDP
2010-04-01,16743.162,realGDP
2010-01-01,16582.71,realGDP
2009-10-01,16502.754,realGDP
2009-07-01,16326.281,realGDP
2009-04-01,16269.145,realGDP
2009-01-01,16298.262,realGDP
2008-10-01,16485.35,realGDP
2008-07-01,16854.295,realGDP
2008-04-01,16943.291,realGDP
2008-01-01,16843.003,realGDP
2007-10-01,16915.191,realGDP
2007-07-01,16809.587,realGDP
2007-04-01,16713.314,realGDP
2007-01-01,16611.69,realGDP
2006-10-01,16561.866,realGDP
2006-07-01,16420.738,realGDP
2006-04-01,16396.151,realGDP
2006-01-01,16353.835,realGDP
2005-10-01,16136.734,realGDP
2005-07-01,16047.587,realGDP
2005-04-01,15922.782,realGDP
2005-01-01,15844.727,realGDP
2004-10-01,15670.88,realGDP
2004-07-01,15512.619,realGDP
2004-04-01,15366.85,realGDP
2004-01-01,15248.68,realGDP
2003-10-01,15162.76,realGDP
2003-07-01,14988.782,realGDP
2003-04-01,14743.567,realGDP
2003-01-01,14614.141,realGDP
2002-10-01,14537.58,realGDP
2002-07-01,14519.633,realGDP
2002-04-01,14460.848,realGDP
2002-01-01,14372.785,realGDP
2001-10-01,14253.574,realGDP
2001-07-01,14214.516,realGDP
2001-04-01,14271.694,realGDP
2001-01-01,14183.12,realGDP
2000-10-01,14229.765,realGDP
2000-07-01,14145.312,realGDP
2000-04-01,14130.908,realGDP
2000-01-01,13878.147,realGDP
1999-10-01,13827.98,realGDP
1999-07-01,13604.771,realGDP
1999-04-01,13426.748,realGDP
1999-01-01,13315.597,realGDP
1998-10-01,13191.67,realGDP
1998-07-01,12982.752,realGDP
1998-04-01,12821.339,realGDP
1998-01-01,12703.742,realGDP
