date,value,name
2023-04-01,66341,realGDPPerCapita
2023-01-01,66078,realGDPPerCapita
2022-10-01,65783,realGDPPerCapita
2022-07-01,65462,realGDPPerCapita
2022-04-01,65127,realGDPPerCapita
2022-01-01,65286,realGDPPerCapita
2021-10-01,65651,realGDPPerCapita
2021-07-01,64615,realGDPPerCapita
2021-04-01,64157,realGDPPerCapita
2021-01-01,63227,realGDPPerCapita
2020-10-01,62414,realGDPPerCapita
2020-07-01,61806,realGDPPerCapita
2020-04-01,57386,realGDPPerCapita
2020-01-01,62333,realGDPPerCapita
2019-10-01,63257,realGDPPerCapita
2019-07-01,62945,realGDPPerCapita
2019-04-01,62331,realGDPPerCapita
2019-01-01,61889,realGDPPerCapita
2018-10-01,61619,realGDPPerCapita
2018-07-01,61622,realGDPPerCapita
2018-04-01,61336,realGDPPerCapita
2018-01-01,61093,realGDPPerCapita
2017-10-01,60674,realGDPPerCapita
2017-07-01,60099,realGDPPerCapita
2017-04-01,59736,realGDPPerCapita
2017-01-01,59494,realGDPPerCapita
2016-10-01,59296,realGDPPerCapita
2016-07-01,59084,realGDPPerCapita
2016-04-01,58787,realGDPPerCapita
2016-01-01,58704,realGDPPerCapita
2015-10-01,58470,realGDPPerCapita
2015-07-01,58486,realGDPPerCapita
2015-04-01,58376,realGDPPerCapita
2015-01-01,58121,realGDPPerCapita
2014-10-01,57702,realGDPPerCapita
2014-07-01,57536,realGDPPerCapita
2014-04-01,56968,realGDPPerCapita
2014-01-01,56345,realGDPPerCapita
2013-10-01,56642,realGDPPerCapita
2013-07-01,56272,realGDPPerCapita
2013-04-01,55914,realGDPPerCapita
2013-01-01,55859,realGDPPerCapita
2012-10-01,55403,realGDPPerCapita
2012-07-01,55454,realGDPPerCapita
2012-04-01,55490,realGDPPerCapita
2012-01-01,55342,realGDPPerCapita
2011-10-01,54979,realGDPPerCapita
2011-07-01,54482,realGDPPerCapita
2011-04-01,54610,realGDPPerCapita
2011-01-01,54341,realGDPPerCapita
2010-10-01,54569,realGDPPerCapita
2010-07-01,54401,realGDPPerCapita
2010-04-01,54100,realGDPPerCapita
2010-01-01,53683,realGDPPerCapita
2009-10-01,53531,realGDPPerCapita
2009-07-01,53081,realGDPPerCapita
2009-04-01,53017,realGDPPerCapita
2009-01-01,53221,realGDPPerCapita
2008-10-01,53941,realGDPPerCapita
2008-07-01,55278,realGDPPerCapita
2008-04-01,55705,realGDPPerCapita
2008-01-01,55497,realGDPPerCapita
2007-10-01,55857,realGDPPerCapita
2007-07-01,55649,realGDPPerCapita
2007-04-01,55474,realGDPPerCapita
2007-01-01,55260,realGDPPerCapita
2006-10-01,55216,realGDPPerCapita
2006-07-01,54886,realGDPPerCapita
2006-04-01,54945,realGDPPerCapita
2006-01-01,54927,realGDPPerCapita
2005-10-01,54317,realGDPPerCapita
2005-07-01,54153,realGDPPerCapita
2005-04-01,53868,realGDPPerCapita
2005-01-01,53719,realGDPPerCapita
2004-10-01,53242,realGDPPerCapita
2004-07-01,52835,realGDPPerCapita
2004-04-01,52469,realGDPPerCapita
2004-01-01,52179,realGDPPerCapita
2003-10-01,51986,realGDPPerCapita
2003-07-01,51512,realGDPPerCapita
2003-04-01,50796,realGDPPerCapita
2003-01-01,50462,realGDPPerCapita
2002-10-01,50302,realGDPPerCapita
2002-07-01,50362,realGDPPerCapita
2002-04-01,50286,realGDPPerCapita
2002-01-01,50091,realGDPPerCapita
2001-10-01,49783,realGDPPerCapita
2001-07-01,49774,realGDPPerCapita
2001-04-01,50105,realGDPPerCapita
2001-01-01,49911,realGDPPerCapita
2000-10-01,50190,realGDPPerCapita
2000-07-01,50024,realGDPPerCapita
2000-04-01,50109,realGDPPerCapita
2000-01-01,49335,realGDPPerCapita
1999-10-01,49281,realGDPPerCapita
1999-07-01,48632,realGDPPerCapita
1999-04-01,48148,realGDPPerCapita
1999-01-01,47880,realGDPPerCapita
1998-10-01,47555,realGDPPerCapita
1998-07-01,46943,realGDPPerCapita
1998-04-01,46504,realGDPPerCapita
1998-01-01,46204,realGDPPerCapita
