date,value,name
2023-08-01,1611.1,retailMoneyFunds
2023-07-01,1559.2,retailMoneyFunds
2023-06-01,1524.8,retailMoneyFunds
2023-05-01,1474.5,retailMoneyFunds
2023-04-01,1397.9,retailMoneyFunds
2023-03-01,1322.0,retailMoneyFunds
2023-02-01,1259.2,retailMoneyFunds
2023-01-01,1212.6,retailMoneyFunds
2022-12-01,1153.1,retailMoneyFunds
2022-11-01,1128.3,retailMoneyFunds
2022-10-01,1099.6,retailMoneyFunds
2022-09-01,1070.8,retailMoneyFunds
2022-08-01,1050.7,retailMoneyFunds
2022-07-01,1036.2,retailMoneyFunds
2022-06-01,1008.9,retailMoneyFunds
2022-05-01,990.4,retailMoneyFunds
2022-04-01,989.7,retailMoneyFunds
2022-03-01,987.8,retailMoneyFunds
2022-02-01,978.5,retailMoneyFunds
2022-01-01,979.1,retailMoneyFunds
2021-12-01,966.8,retailMoneyFunds
2021-11-01,967.3,retailMoneyFunds
2021-10-01,973.3,retailMoneyFunds
2021-09-01,981.0,retailMoneyFunds
2021-08-01,985.0,retailMoneyFunds
2021-07-01,986.9,retailMoneyFunds
2021-06-01,995.7,retailMoneyFunds
2021-05-01,1003.3,retailMoneyFunds
2021-04-01,1008.3,retailMoneyFunds
2021-03-01,1011.7,retailMoneyFunds
2021-02-01,1025.0,retailMoneyFunds
2021-01-01,1024.9,retailMoneyFunds
2020-12-01,1034.1,retailMoneyFunds
2020-11-01,1060.5,retailMoneyFunds
2020-10-01,1057.6,retailMoneyFunds
2020-09-01,1072.6,retailMoneyFunds
2020-08-01,1090.8,retailMoneyFunds
2020-07-01,1108.0,retailMoneyFunds
2020-06-01,1128.2,retailMoneyFunds
2020-05-01,1132.0,retailMoneyFunds
2020-04-01,1089.1,retailMoneyFunds
2020-03-01,1008.1,retailMoneyFunds
2020-02-01,962.9,retailMoneyFunds
2020-01-01,964.6,retailMoneyFunds
2019-12-01,968.2,retailMoneyFunds
2019-11-01,976.2,retailMoneyFunds
2019-10-01,965.2,retailMoneyFunds
2019-09-01,946.6,retailMoneyFunds
2019-08-01,931.3,retailMoneyFunds
2019-07-01,915.2,retailMoneyFunds
2019-06-01,895.8,retailMoneyFunds
2019-05-01,883.6,retailMoneyFunds
2019-04-01,872.2,retailMoneyFunds
2019-03-01,857.0,retailMoneyFunds
2019-02-01,843.4,retailMoneyFunds
2019-01-01,836.7,retailMoneyFunds
2018-12-01,800.3,retailMoneyFunds
2018-11-01,788.4,retailMoneyFunds
2018-10-01,777.7,retailMoneyFunds
2018-09-01,769.8,retailMoneyFunds
2018-08-01,762.2,retailMoneyFunds
2018-07-01,754.9,retailMoneyFunds
2018-06-01,748.6,retailMoneyFunds
2018-05-01,740.0,retailMoneyFunds
2018-04-01,727.9,retailMoneyFunds
2018-03-01,722.3,retailMoneyFunds
2018-02-01,718.4,retailMoneyFunds
2018-01-01,708.1,retailMoneyFunds
2017-12-01,710.3,retailMoneyFunds
2017-11-01,708.3,retailMoneyFunds
2017-10-01,708.2,retailMoneyFunds
2017-09-01,708.9,retailMoneyFunds
2017-08-01,707.4,retailMoneyFunds
2017-07-01,700.2,retailMoneyFunds
2017-06-01,699.4,retailMoneyFunds
2017-05-01,701.0,retailMoneyFunds
2017-04-01,701.2,retailMoneyFunds
2017-03-01,694.5,retailMoneyFunds
2017-02-01,689.7,retailMoneyFunds
2017-01-01,691.0,retailMoneyFunds
2016-12-01,696.3,retailMoneyFunds
2016-11-01,698.7,retailMoneyFunds
2016-10-01,678.2,retailMoneyFunds
2016-09-01,673.0,retailMoneyFunds
2016-08-01,694.2,retailMoneyFunds
2016-07-01,712.1,retailMoneyFunds
2016-06-01,720.7,retailMoneyFunds
2016-05-01,729.5,retailMoneyFunds
2016-04-01,732.4,retailMoneyFunds
2016-03-01,740.1,retailMoneyFunds
2016-02-01,754.6,retailMoneyFunds
2016-01-01,742.9,retailMoneyFunds
2015-12-01,665.2,retailMoneyFunds
2015-11-01,650.4,retailMoneyFunds
2015-10-01,646.8,retailMoneyFunds
2015-09-01,648.4,retailMoneyFunds
2015-08-01,640.5,retailMoneyFunds
2015-07-01,636.1,retailMoneyFunds
2015-06-01,633.9,retailMoneyFunds
2015-05-01,629.8,retailMoneyFunds
2015-04-01,635.6,retailMoneyFunds
2015-03-01,636.1,retailMoneyFunds
2015-02-01,638.9,retailMoneyFunds
2015-01-01,641.8,retailMoneyFunds
2014-12-01,644.7,retailMoneyFunds
2014-11-01,650.9,retailMoneyFunds
2014-10-01,654.8,retailMoneyFunds
2014-09-01,650.4,retailMoneyFunds
2014-08-01,656.6,retailMoneyFunds
2014-07-01,651.8,retailMoneyFunds
2014-06-01,657.8,retailMoneyFunds
2014-05-01,660.3,retailMoneyFunds
2014-04-01,660.5,retailMoneyFunds
2014-03-01,659.1,retailMoneyFunds
2014-02-01,661.8,retailMoneyFunds
2014-01-01,658.7,retailMoneyFunds
2013-12-01,665.8,retailMoneyFunds
2013-11-01,669.3,retailMoneyFunds
2013-10-01,676.8,retailMoneyFunds
2013-09-01,678.2,retailMoneyFunds
2013-08-01,678.2,retailMoneyFunds
2013-07-01,681.3,retailMoneyFunds
2013-06-01,674.4,retailMoneyFunds
2013-05-01,659.4,retailMoneyFunds
2013-04-01,665.6,retailMoneyFunds
2013-03-01,667.3,retailMoneyFunds
2013-02-01,665.5,retailMoneyFunds
2013-01-01,675.2,retailMoneyFunds
2012-12-01,666.9,retailMoneyFunds
2012-11-01,657.8,retailMoneyFunds
2012-10-01,650.8,retailMoneyFunds
2012-09-01,653.3,retailMoneyFunds
