date,value,name
2023-09-01,613016,retailSales
2023-08-01,608868,retailSales
2023-07-01,603792,retailSales
2023-06-01,600736,retailSales
2023-05-01,599958,retailSales
2023-04-01,596809,retailSales
2023-03-01,594281,retailSales
2023-02-01,600669,retailSales
2023-01-01,603211,retailSales
2022-12-01,588540,retailSales
2022-11-01,593090,retailSales
2022-10-01,601983,retailSales
2022-09-01,595234,retailSales
2022-08-01,596600,retailSales
2022-07-01,594264,retailSales
2022-06-01,598405,retailSales
2022-05-01,593733,retailSales
2022-04-01,595371,retailSales
2022-03-01,589238,retailSales
2022-02-01,577933,retailSales
2022-01-01,572415,retailSales
2021-12-01,560896,retailSales
2021-11-01,563358,retailSales
2021-10-01,557190,retailSales
2021-09-01,547197,retailSales
2021-08-01,542966,retailSales
2021-07-01,537466,retailSales
2021-06-01,548414,retailSales
2021-05-01,545282,retailSales
2021-04-01,552575,retailSales
2021-03-01,550349,retailSales
2021-02-01,497758,retailSales
2021-01-01,510740,retailSales
2020-12-01,496423,retailSales
2020-11-01,487824,retailSales
2020-10-01,490482,retailSales
2020-09-01,492411,retailSales
2020-08-01,483280,retailSales
2020-07-01,480461,retailSales
2020-06-01,474621,retailSales
2020-05-01,444746,retailSales
2020-04-01,376992,retailSales
2020-03-01,429854,retailSales
2020-02-01,456676,retailSales
2020-01-01,456334,retailSales
2019-12-01,457669,retailSales
2019-11-01,456656,retailSales
2019-10-01,453140,retailSales
2019-09-01,451994,retailSales
2019-08-01,455725,retailSales
2019-07-01,452442,retailSales
2019-06-01,448856,retailSales
2019-05-01,448869,retailSales
2019-04-01,445957,retailSales
2019-03-01,446084,retailSales
2019-02-01,438830,retailSales
2019-01-01,438377,retailSales
2018-12-01,435285,retailSales
2018-11-01,445484,retailSales
2018-10-01,443560,retailSales
2018-09-01,438709,retailSales
2018-08-01,439439,retailSales
2018-07-01,440111,retailSales
2018-06-01,437530,retailSales
2018-05-01,439781,retailSales
2018-04-01,434832,retailSales
2018-03-01,432891,retailSales
2018-02-01,433754,retailSales
2018-01-01,431045,retailSales
2017-12-01,433537,retailSales
2017-11-01,430931,retailSales
2017-10-01,426725,retailSales
2017-09-01,426198,retailSales
2017-08-01,416888,retailSales
2017-07-01,416373,retailSales
2017-06-01,416293,retailSales
2017-05-01,414102,retailSales
2017-04-01,416541,retailSales
2017-03-01,414836,retailSales
2017-02-01,415552,retailSales
2017-01-01,415749,retailSales
2016-12-01,412576,retailSales
2016-11-01,405929,retailSales
2016-10-01,407120,retailSales
2016-09-01,406064,retailSales
2016-08-01,403731,retailSales
2016-07-01,403827,retailSales
2016-06-01,404475,retailSales
2016-05-01,399711,retailSales
2016-04-01,398199,retailSales
2016-03-01,396630,retailSales
2016-02-01,397676,retailSales
2016-01-01,394486,retailSales
2015-12-01,396826,retailSales
2015-11-01,395960,retailSales
2015-10-01,394266,retailSales
2015-09-01,395641,retailSales
2015-08-01,397782,retailSales
2015-07-01,398028,retailSales
2015-06-01,394743,retailSales
2015-05-01,394366,retailSales
2015-04-01,391130,retailSales
2015-03-01,390850,retailSales
2015-02-01,384685,retailSales
2015-01-01,385289,retailSales
2014-12-01,388028,retailSales
2014-11-01,391348,retailSales
2014-10-01,390417,retailSales
2014-09-01,389504,retailSales
2014-08-01,391224,retailSales
2014-07-01,387978,retailSales
2014-06-01,387738,retailSales
2014-05-01,386717,retailSales
2014-04-01,386409,retailSales
2014-03-01,382202,retailSales
2014-02-01,378327,retailSales
2014-01-01,373103,retailSales
2013-12-01,376564,retailSales
2013-11-01,373691,retailSales
2013-10-01,373275,retailSales
2013-09-01,372330,retailSales
2013-08-01,372208,retailSales
2013-07-01,373185,retailSales
2013-06-01,370732,retailSales
2013-05-01,369516,retailSales
