date,value,name
2023-08-01,0.2,smoothedUSRecessionProbabilities
2023-07-01,0.1,smoothedUSRecessionProbabilities
2023-06-01,0.18,smoothedUSRecessionProbabilities
2023-05-01,0.12,smoothedUSRecessionProbabilities
2023-04-01,0.24,smoothedUSRecessionProbabilities
2023-03-01,0.32,smoothedUSRecessionProbabilities
2023-02-01,0.4,smoothedUSRecessionProbabilities
2023-01-01,0.14,smoothedUSRecessionProbabilities
2022-12-01,1.3,smoothedUSRecessionProbabilities
2022-11-01,1.28,smoothedUSRecessionProbabilities
2022-10-01,0.6,smoothedUSRecessionProbabilities
2022-09-01,0.12,smoothedUSRecessionProbabilities
2022-08-01,0.06,smoothedUSRecessionProbabilities
2022-07-01,0.02,smoothedUSRecessionProbabilities
2022-06-01,0.3,smoothedUSRecessionProbabilities
2022-05-01,0.46,smoothedUSRecessionProbabilities
2022-04-01,0.32,smoothedUSRecessionProbabilities
2022-03-01,0.08,smoothedUSRecessionProbabilities
2022-02-01,0.06,smoothedUSRecessionProbabilities
2022-01-01,0.16,smoothedUSRecessionProbabilities
2021-12-01,0.2,smoothedUSRecessionProbabilities
2021-11-01,0.0,smoothedUSRecessionProbabilities
2021-10-01,0.0,smoothedUSRecessionProbabilities
2021-09-01,0.36,smoothedUSRecessionProbabilities
2021-08-01,0.16,smoothedUSRecessionProbabilities
2021-07-01,0.02,smoothedUSRecessionProbabilities
2021-06-01,0.02,smoothedUSRecessionProbabilities
2021-05-01,0.2,smoothedUSRecessionProbabilities
2021-04-01,0.42,smoothedUSRecessionProbabilities
2021-03-01,0.0,smoothedUSRecessionProbabilities
2021-02-01,0.0,smoothedUSRecessionProbabilities
2021-01-01,0.0,smoothedUSRecessionProbabilities
2020-12-01,0.02,smoothedUSRecessionProbabilities
2020-11-01,0.28,smoothedUSRecessionProbabilities
2020-10-01,0.08,smoothedUSRecessionProbabilities
2020-09-01,0.0,smoothedUSRecessionProbabilities
2020-08-01,0.0,smoothedUSRecessionProbabilities
2020-07-01,0.02,smoothedUSRecessionProbabilities
2020-06-01,0.08,smoothedUSRecessionProbabilities
2020-05-01,0.04,smoothedUSRecessionProbabilities
2020-04-01,100.0,smoothedUSRecessionProbabilities
2020-03-01,100.0,smoothedUSRecessionProbabilities
2020-02-01,0.08,smoothedUSRecessionProbabilities
2020-01-01,0.18,smoothedUSRecessionProbabilities
2019-12-01,0.72,smoothedUSRecessionProbabilities
2019-11-01,0.46,smoothedUSRecessionProbabilities
2019-10-01,1.38,smoothedUSRecessionProbabilities
2019-09-01,0.86,smoothedUSRecessionProbabilities
2019-08-01,0.3,smoothedUSRecessionProbabilities
2019-07-01,0.4,smoothedUSRecessionProbabilities
2019-06-01,0.4,smoothedUSRecessionProbabilities
2019-05-01,0.56,smoothedUSRecessionProbabilities
2019-04-01,1.04,smoothedUSRecessionProbabilities
2019-03-01,0.84,smoothedUSRecessionProbabilities
2019-02-01,0.96,smoothedUSRecessionProbabilities
2019-01-01,0.96,smoothedUSRecessionProbabilities
2018-12-01,0.14,smoothedUSRecessionProbabilities
2018-11-01,0.1,smoothedUSRecessionProbabilities
2018-10-01,0.18,smoothedUSRecessionProbabilities
2018-09-01,0.2,smoothedUSRecessionProbabilities
2018-08-01,0.0,smoothedUSRecessionProbabilities
2018-07-01,0.08,smoothedUSRecessionProbabilities
2018-06-01,0.02,smoothedUSRecessionProbabilities
2018-05-01,0.3,smoothedUSRecessionProbabilities
2018-04-01,0.0,smoothedUSRecessionProbabilities
2018-03-01,0.0,smoothedUSRecessionProbabilities
2018-02-01,0.06,smoothedUSRecessionProbabilities
2018-01-01,0.06,smoothedUSRecessionProbabilities
2017-12-01,0.0,smoothedUSRecessionProbabilities
2017-11-01,0.0,smoothedUSRecessionProbabilities
2017-10-01,0.02,smoothedUSRecessionProbabilities
2017-09-01,0.08,smoothedUSRecessionProbabilities
2017-08-01,0.12,smoothedUSRecessionProbabilities
2017-07-01,0.12,smoothedUSRecessionProbabilities
2017-06-01,0.08,smoothedUSRecessionProbabilities
2017-05-01,0.06,smoothedUSRecessionProbabilities
2017-04-01,0.0,smoothedUSRecessionProbabilities
2017-03-01,0.06,smoothedUSRecessionProbabilities
2017-02-01,0.12,smoothedUSRecessionProbabilities
2017-01-01,0.14,smoothedUSRecessionProbabilities
2016-12-01,0.02,smoothedUSRecessionProbabilities
2016-11-01,0.1,smoothedUSRecessionProbabilities
2016-10-01,0.16,smoothedUSRecessionProbabilities
2016-09-01,0.14,smoothedUSRecessionProbabilities
2016-08-01,0.22,smoothedUSRecessionProbabilities
2016-07-01,0.12,smoothedUSRecessionProbabilities
2016-06-01,0.08,smoothedUSRecessionProbabilities
2016-05-01,0.46,smoothedUSRecessionProbabilities
2016-04-01,0.4,smoothedUSRecessionProbabilities
2016-03-01,0.48,smoothedUSRecessionProbabilities
2016-02-01,0.74,smoothedUSRecessionProbabilities
2016-01-01,0.62,smoothedUSRecessionProbabilities
2015-12-01,0.94,smoothedUSRecessionProbabilities
2015-11-01,1.32,smoothedUSRecessionProbabilities
2015-10-01,1.06,smoothedUSRecessionProbabilities
2015-09-01,0.8,smoothedUSRecessionProbabilities
2015-08-01,0.5,smoothedUSRecessionProbabilities
2015-07-01,0.34,smoothedUSRecessionProbabilities
2015-06-01,0.76,smoothedUSRecessionProbabilities
2015-05-01,0.9,smoothedUSRecessionProbabilities
2015-04-01,1.04,smoothedUSRecessionProbabilities
2015-03-01,1.42,smoothedUSRecessionProbabilities
2015-02-01,1.66,smoothedUSRecessionProbabilities
2015-01-01,1.32,smoothedUSRecessionProbabilities
2014-12-01,0.24,smoothedUSRecessionProbabilities
2014-11-01,0.1,smoothedUSRecessionProbabilities
2014-10-01,0.14,smoothedUSRecessionProbabilities
2014-09-01,0.06,smoothedUSRecessionProbabilities
2014-08-01,0.14,smoothedUSRecessionProbabilities
2014-07-01,0.04,smoothedUSRecessionProbabilities
2014-06-01,0.04,smoothedUSRecessionProbabilities
2014-05-01,0.06,smoothedUSRecessionProbabilities
2014-04-01,0.0,smoothedUSRecessionProbabilities
2014-03-01,0.02,smoothedUSRecessionProbabilities
2014-02-01,0.02,smoothedUSRecessionProbabilities
2014-01-01,0.18,smoothedUSRecessionProbabilities
2013-12-01,0.12,smoothedUSRecessionProbabilities
2013-11-01,0.0,smoothedUSRecessionProbabilities
2013-10-01,0.08,smoothedUSRecessionProbabilities
2013-09-01,0.04,smoothedUSRecessionProbabilities
2013-08-01,0.04,smoothedUSRecessionProbabilities
2013-07-01,0.14,smoothedUSRecessionProbabilities
2013-06-01,0.12,smoothedUSRecessionProbabilities
2013-05-01,0.08,smoothedUSRecessionProbabilities
2013-04-01,0.08,smoothedUSRecessionProbabilities
2013-03-01,0.06,smoothedUSRecessionProbabilities
2013-02-01,0.04,smoothedUSRecessionProbabilities
2013-01-01,0.08,smoothedUSRecessionProbabilities
2012-12-01,0.0,smoothedUSRecessionProbabilities
2012-11-01,0.0,smoothedUSRecessionProbabilities
2012-10-01,0.02,smoothedUSRecessionProbabilities
2012-09-01,0.08,smoothedUSRecessionProbabilities
2012-08-01,0.26,smoothedUSRecessionProbabilities
2012-07-01,0.26,smoothedUSRecessionProbabilities
2012-06-01,0.28,smoothedUSRecessionProbabilities
2012-05-01,0.2,smoothedUSRecessionProbabilities
2012-04-01,0.1,smoothedUSRecessionProbabilities
2012-03-01,0.18,smoothedUSRecessionProbabilities
2012-02-01,0.0,smoothedUSRecessionProbabilities
2012-01-01,0.0,smoothedUSRecessionProbabilities
2011-12-01,0.0,smoothedUSRecessionProbabilities
2011-11-01,0.12,smoothedUSRecessionProbabilities
2011-10-01,0.0,smoothedUSRecessionProbabilities
2011-09-01,0.08,smoothedUSRecessionProbabilities
2011-08-01,0.02,smoothedUSRecessionProbabilities
2011-07-01,0.0,smoothedUSRecessionProbabilities
2011-06-01,0.04,smoothedUSRecessionProbabilities
2011-05-01,0.14,smoothedUSRecessionProbabilities
2011-04-01,0.2,smoothedUSRecessionProbabilities
2011-03-01,0.0,smoothedUSRecessionProbabilities
2011-02-01,0.2,smoothedUSRecessionProbabilities
2011-01-01,0.12,smoothedUSRecessionProbabilities
2010-12-01,0.0,smoothedUSRecessionProbabilities
2010-11-01,0.08,smoothedUSRecessionProbabilities
2010-10-01,0.04,smoothedUSRecessionProbabilities
2010-09-01,0.08,smoothedUSRecessionProbabilities
2010-08-01,0.08,smoothedUSRecessionProbabilities
2010-07-01,0.1,smoothedUSRecessionProbabilities
2010-06-01,0.52,smoothedUSRecessionProbabilities
2010-05-01,0.02,smoothedUSRecessionProbabilities
2010-04-01,0.0,smoothedUSRecessionProbabilities
2010-03-01,0.0,smoothedUSRecessionProbabilities
2010-02-01,0.02,smoothedUSRecessionProbabilities
2010-01-01,0.02,smoothedUSRecessionProbabilities
2009-12-01,0.04,smoothedUSRecessionProbabilities
2009-11-01,0.08,smoothedUSRecessionProbabilities
2009-10-01,0.14,smoothedUSRecessionProbabilities
2009-09-01,0.3,smoothedUSRecessionProbabilities
2009-08-01,0.64,smoothedUSRecessionProbabilities
2009-07-01,3.16,smoothedUSRecessionProbabilities
2009-06-01,66.6,smoothedUSRecessionProbabilities
2009-05-01,90.74,smoothedUSRecessionProbabilities
2009-04-01,97.64,smoothedUSRecessionProbabilities
2009-03-01,99.9,smoothedUSRecessionProbabilities
2009-02-01,99.86,smoothedUSRecessionProbabilities
2009-01-01,100.0,smoothedUSRecessionProbabilities
2008-12-01,100.0,smoothedUSRecessionProbabilities
2008-11-01,99.92,smoothedUSRecessionProbabilities
2008-10-01,87.78,smoothedUSRecessionProbabilities
2008-09-01,99.98,smoothedUSRecessionProbabilities
2008-08-01,99.8,smoothedUSRecessionProbabilities
2008-07-01,95.94,smoothedUSRecessionProbabilities
2008-06-01,87.64,smoothedUSRecessionProbabilities
2008-05-01,83.08,smoothedUSRecessionProbabilities
2008-04-01,75.8,smoothedUSRecessionProbabilities
2008-03-01,63.24,smoothedUSRecessionProbabilities
2008-02-01,45.68,smoothedUSRecessionProbabilities
2008-01-01,20.28,smoothedUSRecessionProbabilities
2007-12-01,7.5,smoothedUSRecessionProbabilities
2007-11-01,1.78,smoothedUSRecessionProbabilities
2007-10-01,1.28,smoothedUSRecessionProbabilities
2007-09-01,0.58,smoothedUSRecessionProbabilities
2007-08-01,0.48,smoothedUSRecessionProbabilities
2007-07-01,0.54,smoothedUSRecessionProbabilities
2007-06-01,0.46,smoothedUSRecessionProbabilities
