date,value,name
2023-09-01,156874,totalNonfarmPayroll
2023-08-01,156538,totalNonfarmPayroll
2023-07-01,156311,totalNonfarmPayroll
2023-06-01,156075,totalNonfarmPayroll
2023-05-01,155970,totalNonfarmPayroll
2023-04-01,155689,totalNonfarmPayroll
2023-03-01,155472,totalNonfarmPayroll
2023-02-01,155255,totalNonfarmPayroll
2023-01-01,155007,totalNonfarmPayroll
2022-12-01,154535,totalNonfarmPayroll
2022-11-01,154296,totalNonfarmPayroll
2022-10-01,154006,totalNonfarmPayroll
2022-09-01,153682,totalNonfarmPayroll
2022-08-01,153332,totalNonfarmPayroll
2022-07-01,152980,totalNonfarmPayroll
2022-06-01,152412,totalNonfarmPayroll
2022-05-01,152042,totalNonfarmPayroll
2022-04-01,151678,totalNonfarmPayroll
2022-03-01,151424,totalNonfarmPayroll
2022-02-01,151010,totalNonfarmPayroll
2022-01-01,150106,totalNonfarmPayroll
2021-12-01,149742,totalNonfarmPayroll
2021-11-01,149173,totalNonfarmPayroll
2021-10-01,148559,totalNonfarmPayroll
2021-09-01,147778,totalNonfarmPayroll
2021-08-01,147221,totalNonfarmPayroll
2021-07-01,146558,totalNonfarmPayroll
2021-06-01,145789,totalNonfarmPayroll
2021-05-01,145096,totalNonfarmPayroll
2021-04-01,144614,totalNonfarmPayroll
2021-03-01,144328,totalNonfarmPayroll
2021-02-01,143544,totalNonfarmPayroll
2021-01-01,142969,totalNonfarmPayroll
2020-12-01,142475,totalNonfarmPayroll
2020-11-01,142743,totalNonfarmPayroll
2020-10-01,142479,totalNonfarmPayroll
2020-09-01,141760,totalNonfarmPayroll
2020-08-01,140799,totalNonfarmPayroll
2020-07-01,139064,totalNonfarmPayroll
2020-06-01,137620,totalNonfarmPayroll
2020-05-01,133055,totalNonfarmPayroll
2020-04-01,130430,totalNonfarmPayroll
2020-03-01,150944,totalNonfarmPayroll
2020-02-01,152371,totalNonfarmPayroll
2020-01-01,152098,totalNonfarmPayroll
2019-12-01,151764,totalNonfarmPayroll
2019-11-01,151662,totalNonfarmPayroll
2019-10-01,151447,totalNonfarmPayroll
2019-09-01,151318,totalNonfarmPayroll
2019-08-01,151111,totalNonfarmPayroll
2019-07-01,150879,totalNonfarmPayroll
2019-06-01,150797,totalNonfarmPayroll
2019-05-01,150630,totalNonfarmPayroll
2019-04-01,150563,totalNonfarmPayroll
2019-03-01,150320,totalNonfarmPayroll
2019-02-01,150092,totalNonfarmPayroll
2019-01-01,150114,totalNonfarmPayroll
2018-12-01,149805,totalNonfarmPayroll
2018-11-01,149622,totalNonfarmPayroll
2018-10-01,149526,totalNonfarmPayroll
