date,value,name
2023-09-01,16.18,totalVehicleSales
2023-08-01,15.888,totalVehicleSales
2023-07-01,16.441,totalVehicleSales
2023-06-01,16.602,totalVehicleSales
2023-05-01,16.079,totalVehicleSales
2023-04-01,16.21,totalVehicleSales
2023-03-01,15.441,totalVehicleSales
2023-02-01,15.378,totalVehicleSales
2023-01-01,15.605,totalVehicleSales
2022-12-01,14.048,totalVehicleSales
2022-11-01,14.785,totalVehicleSales
2022-10-01,15.157,totalVehicleSales
2022-09-01,14.191,totalVehicleSales
2022-08-01,14.01,totalVehicleSales
2022-07-01,13.965,totalVehicleSales
2022-06-01,13.748,totalVehicleSales
2022-05-01,13.4,totalVehicleSales
2022-04-01,14.486,totalVehicleSales
2022-03-01,14.049,totalVehicleSales
2022-02-01,14.109,totalVehicleSales
2022-01-01,14.798,totalVehicleSales
2021-12-01,13.244,totalVehicleSales
2021-11-01,13.553,totalVehicleSales
2021-10-01,13.25,totalVehicleSales
2021-09-01,12.747,totalVehicleSales
2021-08-01,13.749,totalVehicleSales
2021-07-01,15.306,totalVehicleSales
2021-06-01,15.996,totalVehicleSales
2021-05-01,17.567,totalVehicleSales
2021-04-01,18.502,totalVehicleSales
2021-03-01,18.287,totalVehicleSales
2021-02-01,16.076,totalVehicleSales
2021-01-01,16.629,totalVehicleSales
2020-12-01,17.052,totalVehicleSales
2020-11-01,16.405,totalVehicleSales
2020-10-01,16.663,totalVehicleSales
2020-09-01,16.77,totalVehicleSales
2020-08-01,15.868,totalVehicleSales
2020-07-01,15.279,totalVehicleSales
2020-06-01,13.545,totalVehicleSales
2020-05-01,12.549,totalVehicleSales
2020-04-01,8.834,totalVehicleSales
2020-03-01,11.736,totalVehicleSales
2020-02-01,17.026,totalVehicleSales
2020-01-01,16.841,totalVehicleSales
2019-12-01,17.551,totalVehicleSales
2019-11-01,17.594,totalVehicleSales
2019-10-01,17.087,totalVehicleSales
2019-09-01,17.746,totalVehicleSales
2019-08-01,17.859,totalVehicleSales
2019-07-01,17.731,totalVehicleSales
2019-06-01,17.815,totalVehicleSales
2019-05-01,18.027,totalVehicleSales
2019-04-01,16.868,totalVehicleSales
2019-03-01,17.732,totalVehicleSales
2019-02-01,16.945,totalVehicleSales
2019-01-01,16.91,totalVehicleSales
2018-12-01,18.077,totalVehicleSales
2018-11-01,18.061,totalVehicleSales
2018-10-01,17.991,totalVehicleSales
2018-09-01,17.776,totalVehicleSales
2018-08-01,17.564,totalVehicleSales
2018-07-01,17.629,totalVehicleSales
2018-06-01,17.743,totalVehicleSales
2018-05-01,17.829,totalVehicleSales
2018-04-01,17.584,totalVehicleSales
2018-03-01,17.662,totalVehicleSales
2018-02-01,17.447,totalVehicleSales
2018-01-01,17.176,totalVehicleSales
2017-12-01,17.887,totalVehicleSales
2017-11-01,18.003,totalVehicleSales
2017-10-01,18.482,totalVehicleSales
2017-09-01,18.313,totalVehicleSales
2017-08-01,17.051,totalVehicleSales
2017-07-01,17.237,totalVehicleSales
2017-06-01,17.13,totalVehicleSales
2017-05-01,17.081,totalVehicleSales
2017-04-01,17.166,totalVehicleSales
2017-03-01,17.061,totalVehicleSales
2017-02-01,17.699,totalVehicleSales
2017-01-01,17.652,totalVehicleSales
2016-12-01,18.277,totalVehicleSales
2016-11-01,17.792,totalVehicleSales
2016-10-01,17.954,totalVehicleSales
2016-09-01,17.956,totalVehicleSales
2016-08-01,17.927,totalVehicleSales
2016-07-01,18.109,totalVehicleSales
2016-06-01,17.735,totalVehicleSales
2016-05-01,17.695,totalVehicleSales
2016-04-01,17.669,totalVehicleSales
2016-03-01,17.291,totalVehicleSales
2016-02-01,18.096,totalVehicleSales
2016-01-01,18.054,totalVehicleSales
2015-12-01,17.503,totalVehicleSales
2015-11-01,18.314,totalVehicleSales
2015-10-01,18.27,totalVehicleSales
2015-09-01,18.281,totalVehicleSales
2015-08-01,18.391,totalVehicleSales
2015-07-01,18.318,totalVehicleSales
2015-06-01,17.889,totalVehicleSales
2015-05-01,17.929,totalVehicleSales
2015-04-01,17.693,totalVehicleSales
2015-03-01,17.896,totalVehicleSales
2015-02-01,16.891,totalVehicleSales
2015-01-01,16.91,totalVehicleSales
2014-12-01,17.178,totalVehicleSales
2014-11-01,16.949,totalVehicleSales
2014-10-01,16.756,totalVehicleSales
2014-09-01,16.959,totalVehicleSales
2014-08-01,17.239,totalVehicleSales
2014-07-01,17.277,totalVehicleSales
2014-06-01,17.516,totalVehicleSales
2014-05-01,17.137,totalVehicleSales
2014-04-01,16.695,totalVehicleSales
2014-03-01,16.985,totalVehicleSales
2014-02-01,15.993,totalVehicleSales
2014-01-01,15.614,totalVehicleSales
2013-12-01,15.835,totalVehicleSales
2013-11-01,16.079,totalVehicleSales
2013-10-01,15.727,totalVehicleSales
2013-09-01,15.857,totalVehicleSales
2013-08-01,15.827,totalVehicleSales
2013-07-01,16.021,totalVehicleSales
2013-06-01,16.149,totalVehicleSales
2013-05-01,15.884,totalVehicleSales
2013-04-01,15.811,totalVehicleSales
2013-03-01,15.721,totalVehicleSales
2013-02-01,15.861,totalVehicleSales
2013-01-01,15.813,totalVehicleSales
2012-12-01,15.462,totalVehicleSales
2012-11-01,15.456,totalVehicleSales
2012-10-01,14.83,totalVehicleSales
2012-09-01,15.099,totalVehicleSales
2012-08-01,14.444,totalVehicleSales
2012-07-01,14.38,totalVehicleSales
2012-06-01,14.467,totalVehicleSales
2012-05-01,14.496,totalVehicleSales
2012-04-01,14.769,totalVehicleSales
2012-03-01,14.594,totalVehicleSales
2012-02-01,14.975,totalVehicleSales
2012-01-01,14.395,totalVehicleSales
2011-12-01,13.798,totalVehicleSales
2011-11-01,13.743,totalVehicleSales
2011-10-01,13.73,totalVehicleSales
2011-09-01,13.356,totalVehicleSales
2011-08-01,12.604,totalVehicleSales
2011-07-01,12.72,totalVehicleSales
2011-06-01,11.886,totalVehicleSales
2011-05-01,12.28,totalVehicleSales
2011-04-01,13.326,totalVehicleSales
2011-03-01,13.259,totalVehicleSales
2011-02-01,13.081,totalVehicleSales
2011-01-01,12.806,totalVehicleSales
2010-12-01,12.605,totalVehicleSales
2010-11-01,12.3,totalVehicleSales
2010-10-01,12.414,totalVehicleSales
2010-09-01,11.922,totalVehicleSales
2010-08-01,12.014,totalVehicleSales
2010-07-01,11.948,totalVehicleSales
2010-06-01,11.598,totalVehicleSales
2010-05-01,12.03,totalVehicleSales
2010-04-01,11.454,totalVehicleSales
2010-03-01,11.772,totalVehicleSales
2010-02-01,10.315,totalVehicleSales
2010-01-01,10.893,totalVehicleSales
2009-12-01,11.284,totalVehicleSales
2009-11-01,11.041,totalVehicleSales
2009-10-01,10.576,totalVehicleSales
2009-09-01,9.535,totalVehicleSales
2009-08-01,14.754,totalVehicleSales
2009-07-01,11.566,totalVehicleSales
2009-06-01,10.149,totalVehicleSales
2009-05-01,10.176,totalVehicleSales
2009-04-01,9.379,totalVehicleSales
2009-03-01,9.748,totalVehicleSales
2009-02-01,9.223,totalVehicleSales
2009-01-01,9.786,totalVehicleSales
2008-12-01,10.383,totalVehicleSales
2008-11-01,10.526,totalVehicleSales
2008-10-01,10.933,totalVehicleSales
2008-09-01,12.961,totalVehicleSales
2008-08-01,14.119,totalVehicleSales
2008-07-01,13.006,totalVehicleSales
2008-06-01,14.377,totalVehicleSales
2008-05-01,14.697,totalVehicleSales
2008-04-01,14.605,totalVehicleSales
2008-03-01,15.114,totalVehicleSales
2008-02-01,15.491,totalVehicleSales
2008-01-01,15.705,totalVehicleSales
2007-12-01,16.03,totalVehicleSales
2007-11-01,16.354,totalVehicleSales
2007-10-01,16.455,totalVehicleSales
