Symbol,CompanyName,Sector,Industry
AACG,ATA Creativity Global (ADR),Consumer Discretionary,Diversified Consumer Services
AAN,Aaron's Company Inc,Consumer Discretionary,Specialty Retail
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail
ABBY,Abby Inc,Consumer Discretionary,Specialty Retail
ABG,"Asbury Automotive Group, Inc.",Consumer Discretionary,Specialty Retail
ABNB,Airbnb Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ACCYY,ACCOR SA,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ACEL,Accel Entertainment Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ACKAY,ARCELIK AS,Consumer Discretionary,Household Durables
ADD,Color Star Technology Co Ltd,Consumer Discretionary,Diversified Consumer Services
ADDDF,ADIDAS AG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
ADDYY,Adidas AG - ADR,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
ADEC,Alternative Energy Development Corp,Consumer Discretionary,Automobile Components
ADNT,Adient PLC,Consumer Discretionary,Automobile Components
ADPXY,Audio Pixels Holdings Ltd,Consumer Discretionary,Household Durables
ADT,ADT Inc,Consumer Discretionary,Diversified Consumer Services
AENT,Alliance Entertainment Holding Corp,Consumer Discretionary,Distributors
AEO,American Eagle Outfitters Inc,Consumer Discretionary,Specialty Retail
AFTM,Aftermaster Inc,Consumer Discretionary,Leisure Products
AFYA,Afya Ltd,Consumer Discretionary,Diversified Consumer Services
AGAE,Allied Gaming & Entertainment Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
AGS,Playags Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
AGTK,Agritek Holdings Inc,Consumer Discretionary,Distributors
AHRO,Authentic Holdings Inc,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
AIOM,Axiom Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
AIU,Meta Data Ltd,Consumer Discretionary,Diversified Consumer Services
AIXN,AiXin Life International Inc,Consumer Discretionary,Distributors
AKA,AKA Brands Holding Corp,Consumer Discretionary,Specialty Retail
ALLG,Allego NV,Consumer Discretionary,Specialty Retail
ALTD,Altitude International Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ALUR,Allurion Technologies Inc,Consumer Discretionary,Diversified Consumer Services
ALV,Autoliv Inc,Consumer Discretionary,Automobile Components
ALXXF,AVANTE CORP,Consumer Discretionary,Diversified Consumer Services
