Symbol,CompanyName,Sector,Industry
AAVVF,ADVANTAGE ENERGY LTD,Energy,"Oil, Gas & Consumable Fuels"
ABLE,Able Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
ACDC,Profrac Holding Corp,Energy,Energy Equipment & Services
ADHI,Arsenal Digital Holdings Inc,Energy,"Oil, Gas & Consumable Fuels"
AE,Adams Resources & Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
AEDC,American Energy Development Corp,Energy,"Oil, Gas & Consumable Fuels"
AESI,Atlas Energy Solutions Inc,Energy,Energy Equipment & Services
AETUF,ARC RESOURCES LTD,Energy,"Oil, Gas & Consumable Fuels"
AFFCF,American Future Fuel Corp,Energy,"Oil, Gas & Consumable Fuels"
AKTAF,AKITA DRILLING LTD  -CL A,Energy,Energy Equipment & Services
AKVA,Arkanova Energy Corporation,Energy,"Oil, Gas & Consumable Fuels"
ALME,Alamo Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
ALOD,Allied Resources Inc,Energy,"Oil, Gas & Consumable Fuels"
ALPSQ,ALPINE SUMMIT ENGY PTNRS INC,Energy,"Oil, Gas & Consumable Fuels"
ALTX,"Altex Industries, Inc.",Energy,"Oil, Gas & Consumable Fuels"
ALVOF,ALVOPETRO ENERGY LTD,Energy,"Oil, Gas & Consumable Fuels"
AM,Antero Midstream Corp,Energy,"Oil, Gas & Consumable Fuels"
AMCF,Andatee China Marine Fuel Services Corp,Energy,"Oil, Gas & Consumable Fuels"
AMEN,"AMEN Properties, Inc",Energy,"Oil, Gas & Consumable Fuels"
AMNI,American Noble Gas Inc,Energy,"Oil, Gas & Consumable Fuels"
AMPY,Amplify Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
AMTX,Aemetis Inc,Energy,"Oil, Gas & Consumable Fuels"
ANLDF,ANFIELD ENERGY INC,Energy,"Oil, Gas & Consumable Fuels"
AOGC,Australian Oil & Gas Corp,Energy,"Oil, Gas & Consumable Fuels"
AOIFF,AFRICA OIL CORP,Energy,"Oil, Gas & Consumable Fuels"
APA,APA Corp (US),Energy,"Oil, Gas & Consumable Fuels"
APAAF,APPIA RARE EARTH & URNM CORP,Energy,"Oil, Gas & Consumable Fuels"
APLN,AE HOLDING I INC,Energy,"Oil, Gas & Consumable Fuels"
AR,Antero Resources Corp,Energy,"Oil, Gas & Consumable Fuels"
AREC,American Resources Corp,Energy,"Oil, Gas & Consumable Fuels"
ARET,Arete Industries Inc,Energy,"Oil, Gas & Consumable Fuels"
ARGYF,AVANTI HELIUM CORP,Energy,"Oil, Gas & Consumable Fuels"
ARHVF,ARCHER LTD,Energy,Energy Equipment & Services
ARLP,"Alliance Resource Partners, L.P.",Energy,"Oil, Gas & Consumable Fuels"
AROC,Archrock Inc,Energy,Energy Equipment & Services
ARSEF,ALTAI RESOURCES INC,Energy,"Oil, Gas & Consumable Fuels"
ARSLF,ALTIMA RESOURCES LTD,Energy,"Oil, Gas & Consumable Fuels"
ARWJF,AROWAY ENERGY INC,Energy,"Oil, Gas & Consumable Fuels"
ASC,Ardmore Shipping Corp,Energy,"Oil, Gas & Consumable Fuels"
ATDEF,MONTANA EXPLORATION CORP,Energy,"Oil, Gas & Consumable Fuels"
ATHOF,ATHABASCA OIL CORP,Energy,"Oil, Gas & Consumable Fuels"
ATMMF,ATOMIC MINERALS CORP,Energy,"Oil, Gas & Consumable Fuels"
ATUUF,TENAZ ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
AVACF,AVANCE GAS HOLDINGS LTD,Energy,"Oil, Gas & Consumable Fuels"
AVNE,AVENTURA EQUITIES INC,Energy,"Oil, Gas & Consumable Fuels"
AXGC,AXIS ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
AZGSQ,Aztec Oil & Gas Inc,Energy,"Oil, Gas & Consumable Fuels"
AZURF,AZINCOURT ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
BATL,Battalion Oil Corp,Energy,"Oil, Gas & Consumable Fuels"
BDCO,Blue Dolphin Energy Company,Energy,"Oil, Gas & Consumable Fuels"
BDGR,BLACK DRAGON RESOURCE COS,Energy,"Oil, Gas & Consumable Fuels"
BIOF,Blue Biofuels Inc,Energy,"Oil, Gas & Consumable Fuels"
BIREF,BIRCHCLIFF ENERGY LTD,Energy,"Oil, Gas & Consumable Fuels"
BKBEF,PIPESTONE ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
BKR,Baker Hughes Co,Energy,Energy Equipment & Services
BKUCF,BLUE SKY URANIUM CORP,Energy,"Oil, Gas & Consumable Fuels"
BLMC,BILOXI MARSH LANDS CORP,Energy,"Oil, Gas & Consumable Fuels"
BMSPF,Biomass Secure Power Inc,Energy,"Oil, Gas & Consumable Fuels"
BNEFF,BONTERRA ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
BNGLF,BENGAL ENERGY LTD,Energy,"Oil, Gas & Consumable Fuels"
BNMV,BitNile Metaverse Inc,Energy,"Oil, Gas & Consumable Fuels"
BNNLF,Bannerman Energy Ltd,Energy,"Oil, Gas & Consumable Fuels"
BNXR,Brinx Resources Ltd,Energy,"Oil, Gas & Consumable Fuels"
BOOM,Dmc Global Inc,Energy,Energy Equipment & Services
BOPFF,BORDER PETROLEUM LTD,Energy,"Oil, Gas & Consumable Fuels"
BOPO,Biopower Operations Corp,Energy,"Oil, Gas & Consumable Fuels"
BORR,BORR DRILLING LTD SHS,Energy,Energy Equipment & Services
BP,BP plc (ADR),Energy,"Oil, Gas & Consumable Fuels"
BPIGF,BPI Energy Holdings Inc,Energy,"Oil, Gas & Consumable Fuels"
BPT,BP Prudhoe Bay Royalty Trust,Energy,"Oil, Gas & Consumable Fuels"
BRN,Barnwell Industries Inc,Energy,"Oil, Gas & Consumable Fuels"
BROG,Brooge Energy Ltd,Energy,"Oil, Gas & Consumable Fuels"
BRY,Berry Corporation (Bry),Energy,"Oil, Gas & Consumable Fuels"
BSENF,BASELODE ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
BSM,Black Stone Minerals LP,Energy,"Oil, Gas & Consumable Fuels"
BTE,BAYTEX ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
BTU,Peabody Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
BWPC,BLUE WATER PETROLEUM CORP,Energy,"Oil, Gas & Consumable Fuels"
CAPL,Crossamerica Partners LP,Energy,"Oil, Gas & Consumable Fuels"
CAWLF,CWC ENERGY SERVICES CORP,Energy,Energy Equipment & Services
CBMDF,CBM ASIA DEVELOPMENT CORP,Energy,"Oil, Gas & Consumable Fuels"
CBVTF,COBRA VENTURE CORP,Energy,"Oil, Gas & Consumable Fuels"
CCGY,China Clean Energy Inc.,Energy,"Oil, Gas & Consumable Fuels"
CCJ,Cameco Corp (USA),Energy,"Oil, Gas & Consumable Fuels"
CCLP,CSI Compressco LP,Energy,Energy Equipment & Services
CCOZF,CHINA COAL ENERGY CO,Energy,"Oil, Gas & Consumable Fuels"
CCOZY,CHINA COAL ENERGY CO,Energy,"Oil, Gas & Consumable Fuels"
CCWF,Church & Crawford Inc,Energy,"Oil, Gas & Consumable Fuels"
CDDRF,HEADWATER EXPLORATION INC,Energy,"Oil, Gas & Consumable Fuels"
CDID,QUAD ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
CDVIQ,"Cal Dive International, Inc.",Energy,Energy Equipment & Services
CECAF,CANASIA ENERGY CORP,Energy,"Oil, Gas & Consumable Fuels"
CEI,Camber Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
CEIEF,COELACANTH ENERGY INC,Energy,"Oil, Gas & Consumable Fuels"
CEIX,Consol Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
CEQP,Crestwood Equity Partners LP,Energy,"Oil, Gas & Consumable Fuels"
CERX,Colombia Energy Resources Inc,Energy,"Oil, Gas & Consumable Fuels"
CESDF,CES ENERGY SOLUTIONS CORP,Energy,Energy Equipment & Services
CETEF,CATHEDRAL ENERGY SVCS LTD,Energy,Energy Equipment & Services
CETY,Clean Energy Technologies Inc,Energy,"Oil, Gas & Consumable Fuels"
CEYFF,PARENT CAPITAL CORP,Energy,"Oil, Gas & Consumable Fuels"
CFWFF,CALFRAC WELL SERVICES LTD,Energy,Energy Equipment & Services
CGGYY,CGG SA (ADR),Energy,Energy Equipment & Services
CGXEF,CGX Energy Inc,Energy,"Oil, Gas & Consumable Fuels"
CHK,Chesapeake Energy Corp,Energy,"Oil, Gas & Consumable Fuels"
