Symbol,CompanyName,Sector,Industry
AAALF,AAREAL BANK AG,Financials,Financial Services
AAALY,AAREAL BANK AG,Financials,Financial Services
AABVF,ABERDEEN INTERNATIONAL INC,Financials,Capital Markets
AAGIY,AIA GROUP LTD,Financials,Insurance
AAIC,Arlington Asset Investment Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
AAIC-B,Arlington Asset Investment Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
AAIC-C,Arlington Asset Investment Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
AAM-A,Apollo Asset Management Inc,Financials,Financial Services
AAM-B,Apollo Asset Management Inc,Financials,Financial Services
AAME,Atlantic American Corporation,Financials,Insurance
AAMTF,ARMADA MERCANTILE LTD,Financials,Capital Markets
AAVMY,ABN AMRO BANK NV,Financials,Banks
AB,Alliancebernstein Holding LP,Financials,Capital Markets
ABBB,Auburn Bancorp Inc,Financials,Banks
ABCB,Ameris Bancorp,Financials,Banks
ABL,Abacus Life Inc,Financials,Insurance
ABR,Arbor Realty Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
ABR-D,Arbor Realty Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
ABR-E,Arbor Realty Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
ABR-F,Arbor Realty Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
AC,Associated Capital Group Inc,Financials,Capital Markets
ACBCQ,ALBINA COMMUNITY BANCORP,Financials,Banks
ACCFF,ACCORD FINANCIAL CORP,Financials,Financial Services
ACGBY,AGRICULTURAL BANK OF CHINA,Financials,Banks
ACGL,Arch Capital Group Ltd.,Financials,Insurance
ACGX,Alliance Creative Group Inc,Financials,Financial Services
ACIC,American Coastal Insurance Corp,Financials,Insurance
ACMT,ACMAT CORP  -CL A,Financials,Insurance
ACMTA,ACMAT Corporation,Financials,Insurance
ACNB,ACNB Corporation,Financials,Banks
ACR,Acres Commercial Realty Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
ACR-C,Acres Commercial Realty Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
ACR-D,Acres Commercial Realty Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
ACRE,Ares Commercial Real Estate Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
ACT,Enact Holdings Inc,Financials,Financial Services
ACTG,Acacia Research Corp,Financials,Financial Services
ADKT,ADIRONDACK TRUST CO,Financials,Banks
ADLRF,ALARIS EQUITY PARTNERS INCOM,Financials,Capital Markets
ADYEY,ADYEN N.V,Financials,Financial Services
ADYYF,ADYEN N.V,Financials,Financial Services
AEG,AEGON N.V. (ADR),Financials,Insurance
AEL,American Equity Investment Life Holding,Financials,Insurance
AFBI,Affinity Bancshares Inc,Financials,Banks
AFCG,AFC Gamma Inc,Financials,Mortgage Real Estate Investment Trusts (REITs)
AFG,American Financial Group Inc,Financials,Insurance
AFHIF,Atlas Financial Holdings Inc,Financials,Insurance
AFL,AFLAC Incorporated,Financials,Insurance
AFRM,Affirm Holdings Inc,Financials,Financial Services
AGBA,AGBA Group Holding Ltd,Financials,Financial Services
AGESY,Ageas SA - ADR,Financials,Insurance
AGFMF,AGF MANAGEMENT LTD  -CL B,Financials,Capital Markets
AGM,Federal Agricultural Mortgage Corp,Financials,Financial Services
AGM-C,Federal Agricultural Mortgage Corp,Financials,Financial Services
AGM-D,Federal Agricultural Mortgage Corp,Financials,Financial Services
AGM-E,Federal Agricultural Mortgage Corp,Financials,Financial Services
AGM-F,Federal Agricultural Mortgage Corp,Financials,Financial Services
AGM-G,Federal Agricultural Mortgage Corp,Financials,Financial Services
AGM.A,FEDERAL AGRICULTURE MTG CP,Financials,Financial Services
AGMH,AGM Group Holdings Inc,Financials,Capital Markets
AGNC,AGNC Investment Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
AGO,Assured Guaranty Ltd.,Financials,Insurance
AGRPY,Absa Group Ltd (ADR),Financials,Banks
AHFCF,FLOW CAPITAL CORP,Financials,Capital Markets
AIG,American International Group Inc,Financials,Insurance
AIHS,Senmiao Technology Ltd,Financials,Consumer Finance
AINC,Ashford Inc,Financials,Capital Markets
AIVAF,AVIVA PLC,Financials,Insurance
AIZ,"Assurant, Inc.",Financials,Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance
AJX,Great Ajax Corp,Financials,Mortgage Real Estate Investment Trusts (REITs)
AKBTY,Akbank T.A.S. (ADR),Financials,Banks
ALBY,"Community Capital Bancshares, Inc.",Financials,Banks
ALIZF,ALLIANZ SE,Financials,Insurance
ALIZY,ALLIANZ SE,Financials,Insurance
ALL,Allstate Corp,Financials,Insurance
ALLY,Ally Financial Inc,Financials,Consumer Finance
ALMC,Alimco Financial Corp,Financials,Capital Markets
ALPIB,Alpine Banks of Colorado,Financials,Banks
ALRS,Alerus Financial Corp,Financials,Financial Services
ALTI,"AlTi Global, Inc",Financials,Capital Markets
AMAL,Amalgamated Bank,Financials,Banks
AMBC,"Ambac Financial Group, Inc.",Financials,Insurance
AMBK,American Bank Inc. (PA),Financials,Banks
AMBZ,American Business Bank,Financials,Banks
AMFC,AMB Financial Corp.,Financials,Banks
AMG,"Affiliated Managers Group, Inc.",Financials,Capital Markets
