Symbol,CompanyName,Sector,Industry
AACS,"American Commerce Solutions, Inc.",Industrials,Ground Transportation
AAIIQ,"Alabama Aircraft Industries, Inc.",Industrials,Aerospace & Defense
AAL,American Airlines Group Inc,Industrials,Passenger Airlines
AAON,Aaon Inc,Industrials,Building Products
AAPJ,Aap 101 Inc,Industrials,Machinery
ABBNY,ABB Ltd (ADR),Industrials,Electrical Equipment
ABILF,Ability Inc,Industrials,Aerospace & Defense
ABM,ABM Industries Inc,Industrials,Commercial Services & Supplies
ABVN,Abv Consulting Inc,Industrials,Professional Services
ACA,Arcosa Inc,Industrials,Construction & Engineering
ACCO,ACCO Brands Corp,Industrials,Commercial Services & Supplies
ACDVF,AIR CANADA,Industrials,Passenger Airlines
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense
ACLLY,ACCELLERON INDUSTRIES AG,Industrials,Electrical Equipment
ACM,Aecom,Industrials,Construction & Engineering
ACPS,AC Partners Inc,Industrials,Building Products
ACRU,AmeriCrew Inc,Industrials,Professional Services
ACSAY,ACTIVIDADES CONSTR Y SERVICI,Industrials,Construction & Engineering
ACU,Acme United Corp,Industrials,Commercial Services & Supplies
ACVA,ACV Auctions Inc,Industrials,Commercial Services & Supplies
ADERY,AIDA ENGINEERING LTD,Industrials,Machinery
ADFS,American Defense Systems Inc,Industrials,Aerospace & Defense
ADN,Advent Technologies Holdings Inc,Industrials,Electrical Equipment
ADP,Automatic Data Processing Inc,Industrials,Professional Services
ADSE,Ads-Tec Energy PLC,Industrials,Electrical Equipment
ADSV,"Allied Security Innovations, Inc.",Industrials,Commercial Services & Supplies
AEGXF,AECON GROUP INC,Industrials,Construction & Engineering
AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products
AENZ,Aenza SAA (ADR),Industrials,Construction & Engineering
AER,AerCap Holdings N.V.,Industrials,Trading Companies & Distributors
AERG,"Applied Energetics, Inc.",Industrials,Aerospace & Defense
AFDG,EARN-A-CAR INC,Industrials,Professional Services
AFIIQ,Armstrong Flooring Inc,Industrials,Building Products
AFLYY,Air France KLM SA (ADR),Industrials,Passenger Airlines
AFRAD,AIR FRANCE - KLM,Industrials,Passenger Airlines
AGCO,AGCO Corporation,Industrials,Machinery
AGFY,Agrify Corp,Industrials,Machinery
AGGZF,AG GROWTH INTERNATIONAL,Industrials,Machinery
AGMJF,ALGOMA CENTRAL CORP,Industrials,Marine Transportation
AGX,"Argan, Inc.",Industrials,Construction & Engineering
AHEXY,ADECCO GROUP AG,Industrials,Professional Services
AIFM,Aifarm Ltd,Industrials,Machinery
AIN,Albany International Corp.,Industrials,Machinery
AIPUY,AIRPORTS OF THAILAND PCL,Industrials,Transportation Infrastructure
AIR,AAR Corp,Industrials,Aerospace & Defense
AIRI,Air Industries Group,Industrials,Aerospace & Defense
AIRT,"Air T, Inc.",Industrials,Air Freight & Logistics
AIRTP,Air T Funding,Industrials,Air Freight & Logistics
AIRYY,Air China Ltd (ADR),Industrials,Passenger Airlines
