Symbol,CompanyName,Sector,Industry
AACAY,AAC TECHNOLOGIES HLDG INC,Information Technology,"Electronic Equipment, Instruments & Components"
AACTF,AURORA SOLAR TECHNLOGIES INC,Information Technology,"Electronic Equipment, Instruments & Components"
AAOI,Applied Optoelectronics Inc,Information Technology,Communications Equipment
AAPL,Apple Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
AATC,Autoscope Technologies Corp,Information Technology,"Electronic Equipment, Instruments & Components"
AATV,ADAPTIVE AD SYSTEMS INC,Information Technology,IT Services
ABXXF,ABAXX TECHNOLOGIES INC,Information Technology,Software
ACFN,Acorn Energy Inc,Information Technology,"Electronic Equipment, Instruments & Components"
ACIW,ACI Worldwide Inc,Information Technology,Software
ACLS,Axcelis Technologies Inc,Information Technology,Semiconductors & Semiconductor Equipment
ACMR,ACM Research Inc,Information Technology,Semiconductors & Semiconductor Equipment
ACN,Accenture Plc,Information Technology,IT Services
ACWRF,ACCELEWARE LTD,Information Technology,Software
ADAD,Huaizhong Health Group Inc,Information Technology,Software
ADBE,Adobe Inc,Information Technology,Software
ADCOF,ADCORE INC,Information Technology,Software
ADEA,Adeia Inc,Information Technology,Software
ADGL,AllDigital Holdings Inc,Information Technology,Software
ADGO,Advantego Corp,Information Technology,Software
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
ADSK,Autodesk Inc,Information Technology,Software
ADTN,Adtran Holdings Inc,Information Technology,Communications Equipment
AEHR,Aehr Test Systems,Information Technology,Semiconductors & Semiconductor Equipment
AEIS,"Advanced Energy Industries, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
AEVA,Aeva Technologies Inc,Information Technology,"Electronic Equipment, Instruments & Components"
AEXAY,ATOS SE,Information Technology,IT Services
AEY,"ADDvantage Technologies Group, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
AEYE,Audioeye  Inc,Information Technology,Software
AFFN,AFFINITY NETWORKS INC,Information Technology,Software
AGIL,AgileThought Inc,Information Technology,IT Services
AGYS,"Agilysys, Inc.",Information Technology,Software
AI,C3.ai Inc,Information Technology,Software
AIIXY,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment
AILQF,AIRIQ INC,Information Technology,Software
AIMLF,AI-ML INNOVATIONS INC,Information Technology,"Electronic Equipment, Instruments & Components"
AIP,Arteris Inc,Information Technology,Software
AIRG,Airgain Inc,Information Technology,"Electronic Equipment, Instruments & Components"
AIXI,Xiao-I Corp,Information Technology,Software
AIXXF,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment
AKAM,"Akamai Technologies, Inc.",Information Technology,IT Services
AKRFF,ACKROO INC,Information Technology,Software
AKTS,Akoustis Technologies Inc,Information Technology,"Electronic Equipment, Instruments & Components"
ALAR,ALARUM TECHNOLOGIES LTD,Information Technology,Software
ALFIQ,Alfi Inc,Information Technology,Software
ALGM,Allegro MicroSystems Inc,Information Technology,Semiconductors & Semiconductor Equipment
ALIF,"Artificial Life, Inc.",Information Technology,Software
ALKT,Alkami Technology Inc,Information Technology,Software
ALLT,Allot Ltd,Information Technology,Software
ALOT,AstroNova Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
ALPP,Alpine 4 Holdings Inc,Information Technology,"Electronic Equipment, Instruments & Components"
ALRM,Alarm.com Holdings Inc,Information Technology,Software
ALTR,Altair Engineering Inc,Information Technology,Software
ALYA,ALITHYA GROUP INC,Information Technology,IT Services
