Symbol,CompanyName,Sector,Industry
AA,Alcoa Corp,Materials,Metals & Mining
AAEEF,ALTAIR RESOURCES INC,Materials,Metals & Mining
AAGC,All American Gold Corp,Materials,Metals & Mining
AAGFF,AFTERMATH SILVER LTD,Materials,Metals & Mining
AAMMF,ALMADEX MINERALS LTD,Materials,Metals & Mining
AAU,Almaden Minerals Ltd. (USA),Materials,Metals & Mining
AAUGF,ANGOLD RESOURCES LTD,Materials,Metals & Mining
AAUKF,ANGLO AMERICAN PLC,Materials,Metals & Mining
ABBRF,ABRASILVER RESOURCE CORP,Materials,Metals & Mining
ABCAF,ATHABASCA MINERALS INC,Materials,Construction Materials
ABCFF,ABACUS MINING & EXPL CORP,Materials,Metals & Mining
ABEPF,VISION LITHIUM INC,Materials,Metals & Mining
ABLT,American Biltrite Inc.,Materials,Chemicals
ABMBF,ABCOURT MINES INC,Materials,Metals & Mining
ABML,American Battery Technology Co,Materials,Metals & Mining
ABNAF,ABEN MINERALS LTD,Materials,Metals & Mining
ABRMF,ARBOR METALS CORP,Materials,Metals & Mining
ABSSF,AIRBOSS OF AMERICA CORP,Materials,Chemicals
ACAZF,ACADIAN TIMBER CORP,Materials,Paper & Forest Products
ACKRF,AMERICAN CREEK RESOURCES LTD,Materials,Metals & Mining
ACNT,Ascent Industries Co,Materials,Metals & Mining
ACRB,Asia Carbon Industries Inc,Materials,Chemicals
ACRG,American Clean Resources Group Inc,Materials,Metals & Mining
ACRL,Atacama Resources International Inc,Materials,Metals & Mining
ACTX,Advanced Container Technologies Inc,Materials,Containers & Packaging
ADBRF,ALDEBARAN RES INC,Materials,Metals & Mining
ADES,Advanced Emissions Solutions Inc,Materials,Chemicals
ADFJF,ADF GROUP INC,Materials,Metals & Mining
ADMT,ADM Tronics Unlimited Inc,Materials,Chemicals
ADVZF,ADVENTUS MINING CORP,Materials,Metals & Mining
ADXDF,ADEX MINING INC,Materials,Metals & Mining
AEM,Agnico Eagle Mines Ltd (USA),Materials,Metals & Mining
AEXE,AIM Energy Inc,Materials,Metals & Mining
AFMJF,ALPHAMIN RESOURCES CORP,Materials,Metals & Mining
AFPW,Alumifuel Power Corp,Materials,Chemicals
AG,FIRST MAJESTIC SILVER CORP,Materials,Metals & Mining
AGCCF,GENSOURCE POTASH CORP,Materials,Chemicals
AGDXF,ANTIOQUIA GOLD INC,Materials,Metals & Mining
AGI,ALAMOS GOLD INC,Materials,Metals & Mining
AGIN,American Graphite Technologies Inc,Materials,Metals & Mining
AGLAF,T2 METALS CORP,Materials,Metals & Mining
AGLDF,AUSTRAL GOLD LTD,Materials,Metals & Mining
AGMRF,SILVER MOUNTAIN RESOURCE INC,Materials,Metals & Mining
