Symbol,CompanyName,Sector,Industry
AAMC,Altisource Asset Management Corp,Real Estate,Real Estate Management & Development
AANNF,AROUNDTOWN SA,Real Estate,Real Estate Management & Development
AAT,"American Assets Trust, Inc",Real Estate,Diversified REITs
ADC,Agree Realty Corporation,Real Estate,Retail REITs
AEI,Alset Inc,Real Estate,Real Estate Management & Development
AHH,Armada Hoffler Properties Inc,Real Estate,Diversified REITs
AHH-A,Armada Hoffler Properties Inc,Real Estate,Diversified REITs
AHOTF,AMERICAN HOTEL INCM PROP LP,Real Estate,Hotel & Resort REITs
AHT,"Ashford Hospitality Trust, Inc.",Real Estate,Hotel & Resort REITs
AHT-D,Ashford Hospitality Trust Inc,Real Estate,Hotel & Resort REITs
AHT-F,Ashford Hospitality Trust Inc,Real Estate,Hotel & Resort REITs
AHT-G,Ashford Hospitality Trust Inc,Real Estate,Hotel & Resort REITs
AHT-H,Ashford Hospitality Trust Inc,Real Estate,Hotel & Resort REITs
AHT-I,Ashford Hospitality Trust Inc,Real Estate,Hotel & Resort REITs
AIRC,Apartment Income REIT Corp,Real Estate,Residential REITs
AIV,Apartment Investment and Management Co,Real Estate,Residential REITs
AKR,Acadia Realty Trust,Real Estate,Retail REITs
ALBT,Avalon Globocare Corp,Real Estate,Real Estate Management & Development
ALEX,Alexander & Baldwin Inc (Hawaii),Real Estate,Diversified REITs
ALX,"Alexander's, Inc.",Real Estate,Retail REITs
AMH,American Homes 4 Rent,Real Estate,Residential REITs
AMH-G,American Homes 4 Rent,Real Estate,Residential REITs
AMH-H,American Homes 4 Rent,Real Estate,Residential REITs
AMT,American Tower Corp,Real Estate,Specialized REITs
AOXY,"Advanced Oxygen Technologies, Inc.",Real Estate,Real Estate Management & Development
APLE,Apple Hospitality REIT Inc,Real Estate,Hotel & Resort REITs
APPTF,AUTOMOTIVE PROPERTIES REIT,Real Estate,Specialized REITs
APYRF,ALLIED PPTYS REAL ESTATE INVT UNIT,Real Estate,Office REITs
AQQSQ,"American Spectrum Realty, Inc.",Real Estate,Real Estate Management & Development
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs
ARL,"American Realty Investors, Inc.",Real Estate,Real Estate Management & Development
ASGTF,ALTUS GROUP LTD,Real Estate,Real Estate Management & Development
ASPS,Altisource Portfolio Solutions S.A.,Real Estate,Real Estate Management & Development
ASPZ,ASIA PROPERTIES INC,Real Estate,Real Estate Management & Development
AVB,AvalonBay Communities Inc,Real Estate,Residential REITs
AXR,AMREP Corporation,Real Estate,Real Estate Management & Development
BBXIA,BBX Capital Inc,Real Estate,Real Estate Management & Development
BBXIB,BBX CAPITAL INC,Real Estate,Real Estate Management & Development
BCKMF,BECKER MILK CO LTD  -CL B,Real Estate,Real Estate Management & Development
BDN,Brandywine Realty Trust,Real Estate,Office REITs
BEKE,KE Holdings Inc - ADR,Real Estate,Real Estate Management & Development
BFHJ,Beneficial Holdings Inc,Real Estate,Real Estate Management & Development
BFS,Saul Centers Inc,Real Estate,Retail REITs
BGRP,BGI Inc,Real Estate,Real Estate Management & Development
BHM,Bluerock Homes Trust Inc,Real Estate,Residential REITs
BHR,Braemar Hotels & Resorts Inc,Real Estate,Hotel & Resort REITs
BHR-B,Braemar Hotels & Resorts Inc,Real Estate,Hotel & Resort REITs
BHR-D,Braemar Hotels & Resorts Inc,Real Estate,Hotel & Resort REITs
BKSH,Berkshire Homes Inc,Real Estate,Real Estate Management & Development
BNGI,Bangi Inc,Real Estate,Real Estate Management & Development
BNL,Broadstone Net Lease Inc,Real Estate,Diversified REITs
BOWFF,Boardwalk REIT (USA),Real Estate,Residential REITs
BPCP,Bishop Capital Corp,Real Estate,Real Estate Management & Development
BRER,Bresler and Reiner Inc,Real Estate,Real Estate Management & Development
