Symbol,CompanyName,Sector,Industry
ACLLF,ATCO LTD  -CL I,Utilities,Multi-Utilities
ACLTF,ATCO LTD  -CL I,Utilities,Multi-Utilities
AEE,Ameren Corp,Utilities,Multi-Utilities
AEEI,"American Environmental Energy, Inc.",Utilities,Independent Power & Renewable Electricity Producers
AEP,American Electric Power Company Inc,Utilities,Electric Utilities
AES,AES Corp,Utilities,Independent Power & Renewable Electricity Producers
AESC,AES CORP (THE),Utilities,Independent Power & Renewable Electricity Producers
AGLXY,AGL ENERGY,Utilities,Multi-Utilities
AGR,Avangrid Inc,Utilities,Electric Utilities
ALE,ALLETE Inc,Utilities,Electric Utilities
AMPS,Altus Power Inc,Utilities,Independent Power & Renewable Electricity Producers
APTL,Alaska Power & Telephone Co,Utilities,Electric Utilities
AQN,ALGONQUIN POWER & UTIL CORP,Utilities,Multi-Utilities
ARTNA,Artesian Resources Corporation,Utilities,Water Utilities
ARTNB,ARTESIAN RESOURCES  -CL A,Utilities,Water Utilities
ATGFF,ALTAGAS LTD,Utilities,Gas Utilities
ATO,Atmos Energy Corporation,Utilities,Gas Utilities
ATRWF,ALTIUS RENEWABLE ROYLTS CORP,Utilities,Independent Power & Renewable Electricity Producers
AVA,Avista Corp,Utilities,Multi-Utilities
AWK,American Water Works Company Inc,Utilities,Water Utilities
AWR,American States Water Co,Utilities,Water Utilities
AWSL,ATLANTIC PWR & INFRA CORP,Utilities,Independent Power & Renewable Electricity Producers
AY,Atlantica Sustainable Infrastructure PLC,Utilities,Independent Power & Renewable Electricity Producers
AZREF,Azure Power Global Ltd,Utilities,Independent Power & Renewable Electricity Producers
BEP,BROOKFIELD RENEWABLE PRTS LP,Utilities,Independent Power & Renewable Electricity Producers
BEP-A,Brookfield Renewable Partners LP,Utilities,Independent Power & Renewable Electricity Producers
BEPC,Brookfield Renewable Corp,Utilities,Independent Power & Renewable Electricity Producers
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Multi-Utilities
BIPC,Brookfield Infrastructure Corp,Utilities,Gas Utilities
BKH,Black Hills Corp,Utilities,Multi-Utilities
BLSP,Blue Sphere Corp,Utilities,Independent Power & Renewable Electricity Producers
BRENF,BROOKFIELD RENEWABLE PRTS LP,Utilities,Independent Power & Renewable Electricity Producers
BRLXF,BORALEX INC,Utilities,Independent Power & Renewable Electricity Producers
CBUTF,CLEAR BLUE TECHNOLO INTL INC,Utilities,Independent Power & Renewable Electricity Producers
CDUAF,CANADIAN UTILITIES  -CL A,Utilities,Multi-Utilities
CDUUF,CANADIAN UTILITIES  -CL A,Utilities,Multi-Utilities
CDZI,Cadiz Inc,Utilities,Water Utilities
CEG,Constellation Energy Corp,Utilities,Electric Utilities
CEPU,CENTRAL PUERTO SA,Utilities,Independent Power & Renewable Electricity Producers
CEZYY,CEZ A S,Utilities,Electric Utilities
CGEI,CGE ENERGY INC,Utilities,Independent Power & Renewable Electricity Producers
CGFEF,CF ENERGY CORP,Utilities,Gas Utilities
CHNGQ,China Natural Gas Inc,Utilities,Gas Utilities
CIG,Energy of Minas Gerais Co,Utilities,Electric Utilities
CIG.C,CIA ENERGETICA DE MINAS,Utilities,Electric Utilities
CKISY,CK INFRASTRUCTURE HLDNGS LTD,Utilities,Electric Utilities
CLBN,CALIBER ENERGY INC,Utilities,Independent Power & Renewable Electricity Producers
CLIRF,CLEARFORD WATER SYSTEMS INC,Utilities,Water Utilities
CLPHY,CLP Holdings Limited (ADR),Utilities,Electric Utilities
CMS,CMS Energy Corporation,Utilities,Multi-Utilities
CMS-B,Consumers Energy Co,Utilities,Multi-Utilities
CNER,China New Energy Group Co,Utilities,Gas Utilities
CNP,CenterPoint Energy Inc,Utilities,Multi-Utilities
CPK,Chesapeake Utilities Corporation,Utilities,Gas Utilities
CPXWF,CAPITAL POWER CORP,Utilities,Independent Power & Renewable Electricity Producers
CPYYY,CENTRICA PLC,Utilities,Multi-Utilities
CUPUF,CARIBBEAN UTILITIES CO LTD,Utilities,Electric Utilities
CWCO,Consolidated Water Co. Ltd.,Utilities,Water Utilities
CWEN,CLEARWAY ENERGY INC,Utilities,Independent Power & Renewable Electricity Producers
CWEN.A,Clearway Energy Inc,Utilities,Independent Power & Renewable Electricity Producers
CWT,California Water Service Group,Utilities,Water Utilities
CZAVF,CEZ A S,Utilities,Electric Utilities
D,Dominion Energy Inc,Utilities,Multi-Utilities
DNNGY,ORSTED A/S,Utilities,Electric Utilities
DOGEF,ORSTED A/S,Utilities,Electric Utilities
DTE,DTE Energy Co,Utilities,Multi-Utilities
DUK,Duke Energy Corp,Utilities,Electric Utilities
DYNA,Dynastar Holdings Inc,Utilities,Electric Utilities
EBR,ELETROBRAS-CENTR ELETR BRAS,Utilities,Electric Utilities
EBR.B,ELETROBRAS-CENTR ELETR BRAS,Utilities,Electric Utilities
ED,"Consolidated Edison, Inc.",Utilities,Multi-Utilities
EDN,Empresa Distribuidora y Cmrz Nrt SA(ADR),Utilities,Electric Utilities
EDPFY,EDP Energias de Portugal SA (ADR),Utilities,Electric Utilities
EGIEY,ENGIE BRASIL ENERGIA SA,Utilities,Independent Power & Renewable Electricity Producers
EIX,Edison International,Utilities,Electric Utilities
ELEZY,ENDESA SA,Utilities,Electric Utilities
ELLO,Ellomay Capital Ltd,Utilities,Independent Power & Renewable Electricity Producers
ELP,Companhia Paranaense de Energia(ADR),Utilities,Electric Utilities
EMRAF,EMERA INC,Utilities,Electric Utilities
ENGGF,ENAGAS SA,Utilities,Gas Utilities
ENGGY,ENAGAS SA,Utilities,Gas Utilities
ENGIY,Engie SA (ADR),Utilities,Multi-Utilities
ENGQF,ENGIE SA,Utilities,Multi-Utilities
ENIC,Enel Chile SA - ADR,Utilities,Electric Utilities
ENLAY,ENEL SPA,Utilities,Electric Utilities
ENLT,ENLIGHT RENEWABLE ENERGY,Utilities,Independent Power & Renewable Electricity Producers
ENPRF,CURRENT WATER TECHGS INC,Utilities,Water Utilities
EONGY,E ON SE (ADR),Utilities,Multi-Utilities
ES,Eversource Energy,Utilities,Electric Utilities
ETI-,Entergy Texas Inc,Utilities,Electric Utilities
ETR,Entergy Corp,Utilities,Electric Utilities
ETRXF,ETRION CORP,Utilities,Independent Power & Renewable Electricity Producers
EUSP,EuroSite Power Inc,Utilities,Independent Power & Renewable Electricity Producers
EVGIF,EVERGEN INFRASTRUCTURE CORP,Utilities,Gas Utilities
EVRG,Evergy Inc,Utilities,Electric Utilities
EXC,Exelon Corp,Utilities,Electric Utilities
FE,FirstEnergy Corp,Utilities,Electric Utilities
FGPR,Ferrellgas Partners LP,Utilities,Gas Utilities
FNEC,First National Energy Corp,Utilities,Independent Power & Renewable Electricity Producers
FOJCF,FORTUM OYJ,Utilities,Electric Utilities
FOJCY,FORTUM OYJ,Utilities,Electric Utilities
FTS,FORTIS INC,Utilities,Electric Utilities
GASNY,NATURGY ENERGY GROUP SA,Utilities,Gas Utilities
GGDVF,GUANGDONG INVESTMENT LTD,Utilities,Water Utilities
GGDVY,Guangdong Investment Ltd,Utilities,Water Utilities
GNE,Genie Energy Ltd,Utilities,Electric Utilities
GWRS,Global Water Resources Inc,Utilities,Water Utilities
GWTR,Global Water Technologies Inc.,Utilities,Water Utilities
HE,"Hawaiian Electric Industries, Inc.",Utilities,Electric Utilities
HGKGY,Power Assets Holdings Ltd - ADR,Utilities,Electric Utilities
HNOI,HNO International Inc,Utilities,Independent Power & Renewable Electricity Producers
HOKCY,Hong Kong and China Gas Co Ltd(ADR),Utilities,Gas Utilities
HRNNF,HYDRO ONE LTD,Utilities,Electric Utilities
IBDRY,Iberdrola SA (ADR),Utilities,Electric Utilities
IBDSF,IBERDROLA SA,Utilities,Electric Utilities
IDA,IDACORP Inc,Utilities,Electric Utilities
IESFY,INTERCONEXION ELECTRICA SA,Utilities,Electric Utilities
INGXF,INNERGEX RENEWABLE ENRGY INC,Utilities,Independent Power & Renewable Electricity Producers
KAEPY,KANSAI ELECTRIC POWER CO,Utilities,Electric Utilities
KEN,Kenon Holdings Ltd,Utilities,Independent Power & Renewable Electricity Producers
KEP,Korea Electric Power Corp (ADR),Utilities,Electric Utilities
KLYCY,KUNLUN ENERGY CO LTD,Utilities,Gas Utilities
KNRLF,KONTROL TECHNOLOGIES CORP,Utilities,Independent Power & Renewable Electricity Producers
KUNUF,KUNLUN ENERGY CO LTD,Utilities,Gas Utilities
LNDNF,ORRON ENERGY AB (PUBL),Utilities,Independent Power & Renewable Electricity Producers
LNT,Alliant Energy Corporation,Utilities,Electric Utilities
MCPB,MOUNT CARMEL PUBLIC UTIL CO,Utilities,Multi-Utilities
MGEE,MGE Energy Inc,Utilities,Electric Utilities
MNTK,Montauk Renewables Inc,Utilities,Independent Power & Renewable Electricity Producers
MSEX,Middlesex Water Co,Utilities,Water Utilities
MXGFF,MAXIM POWER CORP,Utilities,Independent Power & Renewable Electricity Producers
NCEN,Nacel Energy Corporation,Utilities,Independent Power & Renewable Electricity Producers
NEE,NextEra Energy Inc,Utilities,Electric Utilities
NEP,Nextera Energy Partners LP,Utilities,Independent Power & Renewable Electricity Producers
NEVE,Nevo Energy Inc,Utilities,Independent Power & Renewable Electricity Producers
NFG,National Fuel Gas Co.,Utilities,Gas Utilities
NGG,National Grid plc (ADR),Utilities,Multi-Utilities
NI,NiSource Inc.,Utilities,Multi-Utilities
NIMC,NISOURCE INC,Utilities,Multi-Utilities
NJR,New Jersey Resources Corp,Utilities,Gas Utilities
NKWFF,OCEANIC WIND ENERGY INC,Utilities,Independent Power & Renewable Electricity Producers
NOVA,Sunnova Energy International Inc,Utilities,Independent Power & Renewable Electricity Producers
NPIFF,NORTHLAND POWER INC,Utilities,Independent Power & Renewable Electricity Producers
NRG,NRG Energy Inc,Utilities,Electric Utilities
NWE,NorthWestern Corp,Utilities,Multi-Utilities
